part_id,supplier_id,description,unit_weight_kg,unit_volume_m3,part_length_m,part_width_m,part_height_m,unit_value_eur,criticality,damage_sensitivity,handling_class,stackable,returnable_eligible,line_family,bom_A,bom_B,bom_C,bom_D
P0026,S002,Synthetic automotive component 0026,1.2587,0.004536,0.2711,0.2136,0.0783,2.61,medium,0.2232,manual,True,True,electronics,7,0,0,7
P0027,S042,Synthetic automotive component 0027,1.1365,0.01024,0.4031,0.2501,0.1016,20.34,low,0.7125,manual,True,True,powertrain,0,0,1,0
P0028,S033,Synthetic automotive component 0028,2.8303,0.095334,0.8869,0.5822,0.1846,11.32,medium,0.4802,assisted,True,True,powertrain,6,7,6,10
P0029,S009,Synthetic automotive component 0029,1.8061,0.014639,0.3732,0.3849,0.1019,7.78,medium,0.3206,manual,True,True,electronics,2,0,2,2
P0030,S027,Synthetic automotive component 0030,2.8108,0.029043,0.564,0.3894,0.1322,70.62,low,0.4508,manual,True,True,body,2,2,2,2
P0031,S031,Synthetic automotive component 0031,0.8495,0.005552,0.2717,0.288,0.071,3.88,medium,0.1363,manual,True,True,powertrain,13,13,10,15
P0032,S032,Synthetic automotive component 0032,2.9205,0.017418,0.4958,0.3349,0.1049,23.0,medium,0.5798,manual,True,True,interior,1,1,1,0
P0033,S018,Synthetic automotive component 0033,3.3701,0.004841,0.2763,0.1951,0.0898,62.06,medium,0.2973,manual,True,True,body,13,15,0,13
P0034,S005,Synthetic automotive component 0034,0.8513,0.002166,0.2354,0.1836,0.0501,63.51,low,0.2375,manual,True,True,electronics,3,4,0,3
P0035,S020,Synthetic automotive component 0035,0.7903,0.005196,0.3599,0.2156,0.067,4.61,low,0.2839,manual,True,True,chassis,5,4,3,5
P0036,S053,Synthetic automotive component 0036,3.9825,0.031877,0.5256,0.3842,0.1578,19.33,low,0.3219,manual,True,True,thermal,0,4,4,4
P0037,S009,Synthetic automotive component 0037,1.542,0.020059,0.5072,0.3104,0.1274,11.05,medium,0.0898,manual,True,True,powertrain,1,1,1,1
P0038,S009,Synthetic automotive component 0038,23.87,0.129687,0.7972,0.6449,0.2523,1.54,medium,0.4305,assisted,False,True,electronics,0,2,2,2
P0039,S045,Synthetic automotive component 0039,0.968,0.003905,0.2545,0.1954,0.0785,34.84,medium,0.2491,manual,True,True,powertrain,1,1,1,1
P0040,S022,Synthetic automotive component 0040,8.5961,0.065414,0.7139,0.5187,0.1766,27.89,medium,0.4185,assisted,True,True,chassis,1,1,1,0
P0041,S009,Synthetic automotive component 0041,0.775,0.005069,0.2809,0.1917,0.0941,19.19,medium,0.3599,manual,True,True,thermal,0,1,1,1
P0042,S040,Synthetic automotive component 0042,1.5557,0.011121,0.484,0.2807,0.0818,62.23,medium,0.2056,manual,True,True,electronics,2,2,2,2
P0043,S053,Synthetic automotive component 0043,0.7885,0.001646,0.2131,0.1522,0.0508,27.82,low,0.0948,manual,True,True,interior,6,5,7,0
P0044,S030,Synthetic automotive component 0044,3.6021,0.022787,0.4495,0.4252,0.1192,11.75,medium,0.367,manual,True,True,chassis,1,1,0,1
P0045,S000,Synthetic automotive component 0045,11.4476,0.049667,0.5689,0.5177,0.1686,58.78,medium,0.6117,assisted,True,True,electronics,1,1,1,1
P0046,S036,Synthetic automotive component 0046,2.305,0.010622,0.35,0.3216,0.0944,19.01,low,0.2779,manual,True,True,interior,0,2,2,2
P0047,S015,Synthetic automotive component 0047,4.0002,0.016796,0.4819,0.2765,0.1261,10.91,medium,0.0776,manual,False,True,interior,5,4,4,5
P0048,S026,Synthetic automotive component 0048,2.2639,0.009652,0.3132,0.3481,0.0885,7.72,medium,0.1261,manual,False,True,interior,1,0,1,1
P0049,S053,Synthetic automotive component 0049,4.2873,0.031105,0.5464,0.3765,0.1512,12.08,low,0.2698,manual,True,False,thermal,2,2,2,2
P0050,S032,Synthetic automotive component 0050,2.6874,0.022994,0.5204,0.4154,0.1063,5.29,low,0.2735,manual,False,True,powertrain,1,1,1,0
P0051,S009,Synthetic automotive component 0051,0.6613,0.001864,0.1706,0.159,0.0687,1.81,low,0.3131,manual,False,True,body,2,2,2,2
P0052,S027,Synthetic automotive component 0052,6.2182,0.028243,0.5716,0.3654,0.1352,159.92,high,0.1629,manual,True,True,powertrain,1,1,0,1
P0053,S018,Synthetic automotive component 0053,1.5425,0.006625,0.3013,0.2956,0.0744,28.55,low,0.4191,manual,True,True,electronics,0,2,2,2
P0054,S004,Synthetic automotive component 0054,1.27,0.003852,0.2422,0.2093,0.076,38.92,low,0.5497,manual,True,True,electronics,6,5,5,5
P0055,S023,Synthetic automotive component 0055,5.232,0.010851,0.3596,0.3512,0.0859,12.54,high,0.2858,manual,True,True,thermal,2,2,2,2
P0056,S023,Synthetic automotive component 0056,1.4309,0.004077,0.3255,0.2011,0.0623,19.59,low,0.0576,manual,True,True,body,2,2,2,2
P0057,S058,Synthetic automotive component 0057,2.0308,0.021646,0.5029,0.3485,0.1235,215.71,low,0.5748,manual,False,True,body,14,0,13,9
P0058,S017,Synthetic automotive component 0058,8.7105,0.029842,0.5026,0.3561,0.1667,10.39,low,0.1735,assisted,True,False,interior,1,1,1,1
P0059,S010,Synthetic automotive component 0059,9.0748,0.031539,0.5295,0.3763,0.1583,34.11,medium,0.2606,assisted,True,True,interior,0,2,2,2
P0060,S001,Synthetic automotive component 0060,4.3528,0.013145,0.3508,0.2477,0.1513,0.82,low,0.2411,manual,True,True,electronics,0,0,3,4
P0061,S004,Synthetic automotive component 0061,4.0367,0.003925,0.2733,0.2193,0.0655,5.63,high,0.4019,manual,True,True,powertrain,9,11,13,0
P0062,S033,Synthetic automotive component 0062,1.7112,0.002819,0.2462,0.1813,0.0632,3.23,critical,0.146,manual,True,True,thermal,0,0,0,2
P0063,S003,Synthetic automotive component 0063,45.9396,0.276025,1.2485,0.7696,0.2873,18.93,medium,0.1216,mechanical,True,True,body,7,6,5,0
P0064,S044,Synthetic automotive component 0064,8.3943,0.013344,0.5172,0.275,0.0938,19.95,high,0.1154,assisted,True,True,electronics,2,2,2,2
P0065,S024,Synthetic automotive component 0065,2.5995,0.008016,0.4326,0.2265,0.0818,13.17,low,0.3572,manual,True,True,powertrain,1,1,1,1
P0066,S020,Synthetic automotive component 0066,0.5686,0.001478,0.2504,0.1353,0.0436,28.14,medium,0.2554,manual,False,True,interior,0,4,0,3
P0067,S045,Synthetic automotive component 0067,1.2484,0.003405,0.2653,0.1588,0.0808,92.11,medium,0.2044,manual,True,False,body,0,7,6,5
P0068,S016,Synthetic automotive component 0068,10.8715,0.012934,0.4197,0.2582,0.1194,15.51,medium,0.3771,assisted,False,True,electronics,1,1,1,0
P0069,S016,Synthetic automotive component 0069,8.57,0.050987,0.7618,0.3823,0.1751,50.04,medium,0.3419,assisted,False,True,body,2,2,2,2
P0070,S046,Synthetic automotive component 0070,5.502,0.006269,0.3727,0.2177,0.0773,96.82,medium,0.1779,manual,True,True,interior,1,0,1,1
P0071,S004,Synthetic automotive component 0071,10.323,0.059245,0.6965,0.4132,0.2058,8.32,low,0.33,assisted,True,True,thermal,1,1,1,0
P0072,S027,Synthetic automotive component 0072,2.8083,0.012753,0.5457,0.2546,0.0918,28.93,medium,0.0706,manual,True,True,chassis,0,2,2,2
P0073,S034,Synthetic automotive component 0073,21.8172,0.132751,0.8446,0.6474,0.2428,57.5,low,0.0838,assisted,True,True,interior,1,0,1,1
P0074,S049,Synthetic automotive component 0074,1.9938,0.006159,0.3445,0.1856,0.0963,494.13,critical,0.3356,manual,True,True,chassis,1,1,1,1
P0075,S003,Synthetic automotive component 0075,2.232,0.01319,0.4868,0.258,0.105,15.6,low,0.2299,manual,True,True,interior,2,2,2,2
P0076,S020,Synthetic automotive component 0076,0.9545,0.001883,0.2078,0.1799,0.0504,3538.83,low,0.4717,manual,True,True,powertrain,1,1,1,1
P0077,S046,Synthetic automotive component 0077,0.787,0.008947,0.4436,0.2493,0.0809,7.6,medium,0.129,manual,True,True,interior,1,1,1,0
P0078,S046,Synthetic automotive component 0078,1.1307,0.014727,0.4814,0.2976,0.1028,5.95,medium,0.1213,manual,True,True,powertrain,0,0,1,1
P0079,S056,Synthetic automotive component 0079,43.4883,0.184146,0.9549,0.8187,0.2355,26.81,medium,0.3426,mechanical,True,True,electronics,8,9,10,6
P0080,S055,Synthetic automotive component 0080,1.0543,0.012473,0.4499,0.3195,0.0868,11.59,high,0.1928,manual,True,True,chassis,4,4,5,4
P0081,S027,Synthetic automotive component 0081,0.6244,0.005358,0.3172,0.2109,0.0801,14.6,medium,0.2628,manual,True,True,chassis,4,0,5,0
P0082,S003,Synthetic automotive component 0082,4.4635,0.005599,0.3158,0.23,0.0771,7.53,medium,0.3029,manual,True,True,electronics,1,1,1,1
P0083,S014,Synthetic automotive component 0083,6.484,0.020645,0.6127,0.3142,0.1072,24.75,medium,0.1969,manual,True,True,interior,0,0,0,6
P0084,S022,Synthetic automotive component 0084,5.2714,0.016037,0.3647,0.2785,0.1579,3.84,low,0.5196,manual,True,True,powertrain,2,2,2,0
P0085,S011,Synthetic automotive component 0085,0.1546,0.000153,0.0847,0.0661,0.0274,30.95,low,0.4003,manual,True,True,thermal,1,0,1,1
P0086,S024,Synthetic automotive component 0086,18.3053,0.111685,0.9457,0.5953,0.1984,8.8,low,0.2043,assisted,True,False,thermal,2,2,0,2
P0087,S020,Synthetic automotive component 0087,1.485,0.00449,0.2908,0.1966,0.0785,28.43,medium,0.3627,manual,True,True,interior,2,2,2,2
P0088,S012,Synthetic automotive component 0088,1.6802,0.003641,0.3147,0.1755,0.0659,8.7,medium,0.4013,manual,False,True,interior,0,2,2,2
P0089,S010,Synthetic automotive component 0089,11.5185,0.04011,0.7483,0.4192,0.1279,25.05,low,0.33,assisted,True,True,body,2,2,2,2
P0090,S030,Synthetic automotive component 0090,3.461,0.004336,0.3126,0.1751,0.0792,14.48,low,0.382,manual,True,True,thermal,1,1,1,1
P0091,S054,Synthetic automotive component 0091,2.7886,0.008379,0.3363,0.3158,0.0789,2.42,high,0.5539,manual,True,True,body,2,2,2,2
P0092,S017,Synthetic automotive component 0092,3.0918,0.05991,0.5845,0.5137,0.1995,19.25,medium,0.6745,manual,True,False,electronics,1,1,1,1
P0093,S033,Synthetic automotive component 0093,3.3171,0.029364,0.4131,0.4151,0.1712,10.62,medium,0.4256,manual,True,True,body,1,1,1,1
P0094,S033,Synthetic automotive component 0094,3.5735,0.029528,0.5113,0.3538,0.1632,12.57,medium,0.2626,manual,True,True,interior,2,2,2,2
P0095,S019,Synthetic automotive component 0095,4.5066,0.029897,0.58,0.409,0.126,17.81,medium,0.5163,manual,True,True,powertrain,2,0,2,2
P0096,S027,Synthetic automotive component 0096,2.3596,0.01126,0.4168,0.2341,0.1154,24.18,medium,0.2293,manual,False,False,powertrain,15,0,10,9
P0097,S036,Synthetic automotive component 0097,2.0167,0.002681,0.2702,0.1548,0.0641,94.52,high,0.3314,manual,True,True,electronics,2,2,2,2
P0098,S024,Synthetic automotive component 0098,2.0912,0.018077,0.5113,0.3532,0.1001,23.78,low,0.3945,manual,True,True,powertrain,1,1,1,1
P0099,S030,Synthetic automotive component 0099,1.6077,0.004537,0.2716,0.2062,0.081,168.36,critical,0.7828,manual,True,False,thermal,0,0,1,1
P0100,S030,Synthetic automotive component 0100,11.0029,0.05727,0.6951,0.5365,0.1536,8.25,medium,0.126,assisted,False,True,powertrain,4,0,3,3
P0101,S021,Synthetic automotive component 0101,0.822,0.002448,0.2137,0.183,0.0626,76.36,low,0.3981,manual,True,False,body,13,11,12,12
P0102,S000,Synthetic automotive component 0102,27.595,0.032237,0.5664,0.4486,0.1269,23.67,critical,0.2033,mechanical,False,True,body,1,1,1,0
P0103,S036,Synthetic automotive component 0103,2.0032,0.010484,0.3933,0.2368,0.1126,12.48,high,0.5363,manual,True,True,electronics,1,1,1,0
P0104,S026,Synthetic automotive component 0104,4.5912,0.015039,0.3917,0.2994,0.1282,39.65,medium,0.5752,manual,True,True,body,1,1,1,1
P0105,S026,Synthetic automotive component 0105,5.2639,0.057827,0.7553,0.4795,0.1597,26.83,low,0.1912,manual,False,True,interior,6,0,6,5
P0106,S027,Synthetic automotive component 0106,12.2644,0.102611,0.8484,0.6821,0.1773,4.25,medium,0.2202,assisted,True,True,thermal,0,4,4,0
P0107,S005,Synthetic automotive component 0107,3.7228,0.00684,0.4679,0.1967,0.0743,22.66,low,0.3931,manual,True,True,powertrain,8,7,9,0
P0108,S046,Synthetic automotive component 0108,12.6477,0.01563,0.5639,0.2695,0.1028,3.59,medium,0.1409,assisted,True,True,powertrain,0,2,2,2
P0109,S050,Synthetic automotive component 0109,17.3257,0.165241,0.8,0.6052,0.3413,26.71,low,0.1163,assisted,True,False,chassis,0,13,0,0
P0110,S041,Synthetic automotive component 0110,0.8914,0.002851,0.306,0.1606,0.058,3.64,medium,0.3394,manual,True,True,electronics,2,0,0,0
P0111,S053,Synthetic automotive component 0111,0.614,0.003982,0.2522,0.1865,0.0846,44.94,high,0.267,manual,True,True,electronics,1,1,1,1
P0112,S026,Synthetic automotive component 0112,3.3525,0.107248,0.9301,0.5794,0.199,19.46,low,0.474,assisted,True,True,chassis,1,1,1,0
P0113,S021,Synthetic automotive component 0113,1.0577,0.002815,0.2528,0.1728,0.0644,1.95,high,0.1033,manual,True,False,electronics,0,0,2,2
P0114,S055,Synthetic automotive component 0114,20.1952,0.238284,1.1718,0.7566,0.2688,9.98,high,0.3123,mechanical,True,True,thermal,2,0,2,0
P0115,S024,Synthetic automotive component 0115,7.8288,0.058737,0.7759,0.4836,0.1565,3.26,low,0.4563,manual,True,False,interior,1,0,1,0
P0116,S052,Synthetic automotive component 0116,5.0399,0.013181,0.4894,0.2903,0.0928,45.09,critical,0.0764,manual,True,True,electronics,0,2,2,2
P0117,S030,Synthetic automotive component 0117,1.2555,0.013389,0.4124,0.2704,0.1201,8.76,high,0.5251,manual,True,True,thermal,1,1,1,1
P0118,S046,Synthetic automotive component 0118,1.9551,0.002539,0.2813,0.1732,0.0521,23.54,medium,0.2312,manual,True,True,powertrain,0,2,2,0
P0119,S059,Synthetic automotive component 0119,1.502,0.004946,0.3086,0.2245,0.0714,31.38,low,0.4264,manual,True,True,body,1,0,1,1
P0120,S047,Synthetic automotive component 0120,4.356,0.017811,0.4229,0.414,0.1017,4.63,medium,0.2678,manual,True,True,interior,1,1,1,0
P0121,S020,Synthetic automotive component 0121,10.3595,0.033429,0.7647,0.3571,0.1224,50.33,medium,0.6029,assisted,True,True,thermal,1,1,0,1
P0122,S053,Synthetic automotive component 0122,0.6967,0.001876,0.2111,0.162,0.0549,3.55,low,0.2606,manual,True,True,powertrain,9,10,0,10
P0123,S040,Synthetic automotive component 0123,3.007,0.005751,0.3887,0.198,0.0747,2.27,low,0.4257,manual,True,True,interior,1,0,1,1
P0124,S009,Synthetic automotive component 0124,1.3536,0.011218,0.4726,0.2689,0.0883,7.16,high,0.1141,manual,False,True,body,2,2,0,2
P0125,S003,Synthetic automotive component 0125,0.5842,0.001173,0.174,0.1509,0.0447,1.22,high,0.1899,manual,True,True,chassis,0,1,0,1
P0126,S044,Synthetic automotive component 0126,4.2444,0.026981,0.6869,0.3413,0.1151,28.9,medium,0.1201,manual,True,False,interior,1,1,1,1
P0127,S012,Synthetic automotive component 0127,6.2267,0.051441,0.6005,0.4587,0.1867,11.1,medium,0.3067,manual,True,True,body,2,2,2,2
P0128,S043,Synthetic automotive component 0128,4.657,0.008772,0.4537,0.2292,0.0844,2.7,medium,0.0428,manual,True,True,thermal,0,7,7,5
P0129,S051,Synthetic automotive component 0129,3.6078,0.019226,0.4547,0.3409,0.124,60.51,high,0.2725,manual,False,True,interior,2,2,2,2
P0130,S022,Synthetic automotive component 0130,7.5716,0.01889,0.4283,0.3946,0.1118,10.23,medium,0.1737,manual,True,True,powertrain,1,1,1,1
P0131,S009,Synthetic automotive component 0131,11.7106,0.056685,0.9148,0.4117,0.1505,9.65,medium,0.2347,assisted,True,False,interior,11,14,0,11
P0132,S000,Synthetic automotive component 0132,3.2836,0.025634,0.5295,0.3018,0.1604,22.83,medium,0.1526,manual,True,True,powertrain,0,2,2,0
P0133,S049,Synthetic automotive component 0133,1.5259,0.009184,0.5031,0.2125,0.0859,63.89,low,0.086,manual,True,True,chassis,4,3,4,0
P0134,S016,Synthetic automotive component 0134,19.2826,0.131094,0.7588,0.768,0.2249,4.82,critical,0.2714,assisted,True,True,electronics,1,1,1,0
P0135,S018,Synthetic automotive component 0135,2.5678,0.02153,0.4775,0.3162,0.1426,45.13,medium,0.0677,manual,True,True,chassis,5,4,0,4
P0136,S009,Synthetic automotive component 0136,1.3866,0.007741,0.4396,0.2355,0.0748,26.29,medium,0.3242,manual,True,True,body,1,1,1,1
P0137,S016,Synthetic automotive component 0137,7.9307,0.008873,0.2856,0.3389,0.0917,37.37,low,0.5338,manual,True,True,powertrain,0,1,0,0
P0138,S048,Synthetic automotive component 0138,6.7433,0.040178,0.7441,0.3911,0.1381,19.99,high,0.2614,manual,True,True,chassis,1,1,1,1
P0139,S008,Synthetic automotive component 0139,6.0367,0.133771,0.9037,0.6043,0.245,13.66,medium,0.124,assisted,True,True,interior,8,9,0,0
P0140,S024,Synthetic automotive component 0140,2.4121,0.029555,0.6628,0.3907,0.1141,12.05,low,0.3282,manual,True,True,electronics,0,5,5,5
P0141,S053,Synthetic automotive component 0141,17.4466,0.067087,0.7768,0.5102,0.1693,95.37,low,0.0718,assisted,True,True,chassis,1,1,1,1
P0142,S014,Synthetic automotive component 0142,5.1982,0.061526,0.7108,0.5751,0.1505,5.6,medium,0.2578,assisted,True,True,body,0,0,2,2
P0143,S030,Synthetic automotive component 0143,1.6575,0.011623,0.3009,0.3121,0.1238,7.56,medium,0.1967,manual,True,False,electronics,0,0,0,2
P0144,S023,Synthetic automotive component 0144,2.543,0.012411,0.4973,0.2493,0.1001,21.78,low,0.492,manual,True,False,interior,2,2,2,2
P0145,S046,Synthetic automotive component 0145,2.0631,0.008754,0.3597,0.2974,0.0818,10.61,medium,0.1809,manual,True,True,chassis,4,4,5,4
P0146,S030,Synthetic automotive component 0146,3.3215,0.015667,0.4923,0.3251,0.0979,11.04,medium,0.4714,manual,True,True,thermal,0,1,0,0
P0147,S040,Synthetic automotive component 0147,3.696,0.014253,0.47,0.3286,0.0923,18.88,medium,0.0748,manual,True,True,electronics,0,1,0,1
P0148,S012,Synthetic automotive component 0148,19.326,0.235718,1.4442,0.6404,0.2549,2.37,medium,0.2422,mechanical,True,True,interior,0,0,1,1
P0149,S020,Synthetic automotive component 0149,3.6285,0.011139,0.4956,0.2544,0.0884,57.13,low,0.1666,manual,False,True,body,1,1,1,1
P0150,S046,Synthetic automotive component 0150,1.6159,0.004634,0.3417,0.1702,0.0797,20.14,medium,0.2173,manual,True,False,chassis,0,0,1,1
P0151,S023,Synthetic automotive component 0151,2.9589,0.00927,0.4054,0.2564,0.0892,3.64,medium,0.4191,manual,True,True,electronics,4,0,4,0
P0152,S033,Synthetic automotive component 0152,0.1645,0.001266,0.2181,0.1233,0.0471,5.06,critical,0.5577,manual,False,True,powertrain,8,0,10,0
P0153,S032,Synthetic automotive component 0153,2.0115,0.00947,0.321,0.2927,0.1008,54.67,high,0.0802,manual,True,True,electronics,1,1,1,1
P0154,S035,Synthetic automotive component 0154,7.1591,0.130112,0.7828,0.7763,0.2141,5.36,low,0.461,assisted,False,True,chassis,1,0,1,0
P0155,S043,Synthetic automotive component 0155,1.5884,0.001999,0.2201,0.1762,0.0515,42.68,critical,0.3068,manual,True,True,powertrain,1,1,0,1
P0156,S024,Synthetic automotive component 0156,2.0783,0.008216,0.3289,0.2824,0.0885,188.4,medium,0.5265,manual,True,True,chassis,2,2,2,0
P0157,S036,Synthetic automotive component 0157,0.7095,0.001856,0.1983,0.1407,0.0665,42.3,high,0.1251,manual,True,True,interior,1,1,1,1
P0158,S054,Synthetic automotive component 0158,0.8896,0.001408,0.181,0.1521,0.0511,30.77,medium,0.168,manual,False,True,interior,7,6,8,0
P0159,S056,Synthetic automotive component 0159,1.4965,0.009565,0.4866,0.2365,0.0831,20.96,medium,0.0578,manual,True,True,powertrain,1,0,0,1
P0160,S025,Synthetic automotive component 0160,4.3559,0.03775,0.7001,0.4066,0.1326,38.07,low,0.3678,manual,True,True,powertrain,0,1,1,1
P0161,S042,Synthetic automotive component 0161,1.4491,0.009432,0.3795,0.2126,0.1169,11.0,high,0.1452,manual,True,False,interior,2,0,2,2
P0162,S019,Synthetic automotive component 0162,1.5869,0.023324,0.6267,0.3495,0.1065,28.77,medium,0.3657,manual,True,True,chassis,0,1,0,1
P0163,S059,Synthetic automotive component 0163,6.6302,0.069713,0.7284,0.5835,0.164,47.58,medium,0.179,assisted,True,True,chassis,1,1,1,1
P0164,S002,Synthetic automotive component 0164,1.2475,0.00886,0.3474,0.2181,0.1169,7.17,medium,0.4033,manual,True,True,powertrain,9,9,8,0
P0165,S022,Synthetic automotive component 0165,6.484,0.032734,0.6788,0.4057,0.1189,2.82,medium,0.2737,manual,True,True,powertrain,5,0,5,3
P0166,S056,Synthetic automotive component 0166,4.5385,0.034013,0.5774,0.399,0.1476,8.34,low,0.1786,manual,True,True,chassis,2,0,2,2
P0167,S000,Synthetic automotive component 0167,10.4641,0.016436,0.5995,0.2841,0.0965,8.33,medium,0.3841,assisted,True,True,thermal,2,2,2,2
P0168,S016,Synthetic automotive component 0168,0.382,0.001171,0.2077,0.1358,0.0415,38.3,medium,0.1291,manual,True,True,body,2,2,2,2
P0169,S019,Synthetic automotive component 0169,15.9349,0.062703,0.6123,0.5456,0.1877,9.63,medium,0.101,assisted,True,True,powertrain,4,5,5,4
P0170,S055,Synthetic automotive component 0170,9.5939,0.088641,0.6666,0.6101,0.218,12.3,medium,0.4585,assisted,True,True,electronics,1,1,1,1
P0171,S056,Synthetic automotive component 0171,1.7829,0.009448,0.4073,0.2273,0.102,27.95,critical,0.3211,manual,True,True,interior,2,2,2,2
P0172,S044,Synthetic automotive component 0172,3.8376,0.02383,0.5181,0.3279,0.1402,29.82,low,0.501,manual,True,True,interior,0,1,1,1
P0173,S056,Synthetic automotive component 0173,5.5064,0.039758,0.6891,0.4485,0.1286,2.9,medium,0.2477,manual,True,True,interior,1,0,1,1
P0174,S027,Synthetic automotive component 0174,2.6233,0.021014,0.5096,0.3548,0.1162,56.83,low,0.3256,manual,True,True,thermal,6,7,5,6
P0175,S040,Synthetic automotive component 0175,14.2948,0.083241,0.8788,0.4792,0.1977,5.86,high,0.2796,assisted,True,True,interior,2,2,2,2
P0176,S050,Synthetic automotive component 0176,5.2471,0.009869,0.3393,0.2735,0.1063,3.1,medium,0.1996,manual,True,True,chassis,0,1,1,1
P0177,S046,Synthetic automotive component 0177,5.4816,0.01827,0.5272,0.3283,0.1056,46.76,medium,0.5861,manual,False,True,chassis,0,0,0,7
P0178,S003,Synthetic automotive component 0178,2.6996,0.008674,0.3201,0.3036,0.0893,43.74,medium,0.1822,manual,True,True,chassis,0,0,1,1
P0179,S017,Synthetic automotive component 0179,0.8511,0.003629,0.2857,0.1752,0.0725,23.96,high,0.1781,manual,True,True,thermal,1,1,1,1
P0180,S055,Synthetic automotive component 0180,10.9163,0.038625,0.4991,0.443,0.1747,149.19,medium,0.2411,assisted,False,True,thermal,1,0,1,1
P0181,S047,Synthetic automotive component 0181,2.5147,0.010071,0.418,0.274,0.0879,0.86,low,0.2623,manual,True,False,chassis,5,7,7,6
P0182,S059,Synthetic automotive component 0182,0.5438,0.001843,0.2401,0.1256,0.0611,1.45,medium,0.2184,manual,False,True,thermal,5,5,4,0
