part_id,packaging_id,units_per_container,q_volume,q_weight,q_geometry,cube_utilization,gross_weight_kg,annual_packaging_cost_eur,annual_handling_cost_eur,annual_damage_cost_eur,annual_packaging_transport_proxy_eur,total_packaging_system_cost_eur,returnable
P0042,PK04,3,5,15,3,0.5321052631578947,5.4671,28193.199999999997,20138.0,4637.6436543360005,0,52968.843654336,False
P0043,PK04,20,38,30,20,0.5250398724082934,16.57,10684.8,7632.0,2414.934729792,0,20731.734729792,False
P0044,PK04,1,2,6,0,0.36342902711323766,4.4021,32563.999999999996,23260.0,601.81761,0,56425.81761,False
P0045,PK04,1,1,2,0,0.7921371610845295,12.2476,42296.799999999996,30212.0,6517.766363472001,0,79026.566363472,False
P0046,PK04,3,5,10,3,0.5082296650717703,7.715000000000001,18522.0,13230.0,1257.9380159640002,0,33009.938015964,False
P0047,PK04,2,3,5,2,0.5357575757575757,8.800400000000002,95205.59999999999,68004.0,690.869134176,0,163900.46913417598,False
P0048,PK04,3,6,10,3,0.4618181818181818,7.5917,10239.599999999999,7314.0,128.162168784,0,17681.762168784,False
P0049,PK04,1,2,5,1,0.4960925039872408,5.0873,84694.4,60496.0,1183.005571584,0,146373.405571584,False
P0050,PK04,1,2,8,0,0.3667304625199362,3.4874,35918.399999999994,25656.0,222.71691384,0,61797.11691383999,False
P0051,PK04,24,33,36,24,0.7134928229665071,16.6712,3525.2,2518.0,205.40326852800004,0,6248.603268528,False
P0052,PK04,1,2,3,0,0.4504465709728867,7.0182,32418.399999999998,23156.0,3619.4172900479994,0,59193.81729004799,False
P0053,PK04,4,9,15,4,0.42264752791068577,6.97,13806.8,9862.0,2831.7569425199995,0,26500.556942519997,False
P0054,PK04,6,16,18,6,0.36861244019138756,8.42,37665.6,26904.0,20720.060484815996,0,85289.66048481599,False
P0055,PK04,3,5,4,3,0.5191866028708133,16.496000000000002,28254.8,20182.0,1301.956481232,0,49738.756481232005,False
P0056,PK04,4,15,16,4,0.26009569377990427,6.5236,21100.8,15072.0,408.168087552,0,36580.968087552006,False
P0057,PK04,2,2,11,2,0.690462519936204,4.8616,195157.19999999998,139398.0,207406.18901851203,0,541961.389018512,False
P0058,PK04,1,2,2,1,0.47594896331738434,9.5105,42288.399999999994,30206.0,326.70779394000004,0,72821.10779394,False
P0059,PK04,1,1,2,1,0.5030143540669856,9.8748,55552.0,39680.0,2116.30883328,0,97348.30883328,False
P0060,PK04,1,4,5,1,0.20964912280701753,5.1528,54801.6,39144.0,46.433082528,0,93992.03308252801,False
P0061,PK04,4,15,5,8,0.25039872408293457,16.9468,96199.59999999999,68714.0,3731.440775064,0,168645.04077506397,False
P0062,PK04,11,22,14,16,0.49456140350877187,19.6232,1156.3999999999999,826.0,25.669042559999998,0,2008.0690425599998,False
P0063,PK05,1,3,14,0,0.2875260416666667,69.9396,1259536.0,354244.5,1812.0692524800002,0,1615592.56925248,False
P0064,PK04,2,4,2,3,0.42564593301435405,17.5886,42380.799999999996,30272.0,836.31727872,0,73489.11727871999,False
P0065,PK04,3,7,9,3,0.3835406698564593,8.5985,14095.199999999999,10068.0,852.5364125760001,0,25015.736412575996,False
P0066,PK04,24,42,42,24,0.5657416267942582,14.4464,2730.0,1950.0,2017.3210535520002,0,6697.321053552,False
P0067,PK04,12,18,19,12,0.6516746411483253,15.7808,14302.4,10216.0,13847.542691136001,0,38365.942691136006,False
P0068,PK04,2,4,2,2,0.4125677830940988,22.543,17978.8,12842.0,901.3267113839999,0,31722.126711384,False
P0069,PK04,1,1,2,0,0.8131897926634768,9.370000000000001,84554.4,60396.0,6199.773574176,0,151150.173574176,False
P0070,PK04,3,10,4,3,0.29995215311004786,17.306,10236.8,7312.0,2266.7838819119997,0,19815.583881912,False
P0071,PK04,1,1,2,0,0.9448963317384369,11.123000000000001,36002.399999999994,25716.0,423.6350976,0,62142.0350976,False
P0072,PK04,3,4,8,3,0.6101913875598086,9.224900000000002,18468.8,13192.0,484.99390684799994,0,32145.793906848,False
P0073,PK05,4,7,29,4,0.5531291666666667,111.2688,44016.0,12379.5,530.1313700000001,0,56925.63137,False
P0074,PK04,6,10,12,6,0.589377990430622,12.7628,7050.4,5036.0,30056.360914944,0,42142.760914944,False
P0075,PK04,2,4,10,2,0.4207336523125996,5.264,42190.399999999994,30136.0,1296.97147008,0,73623.37147007999,False
P0076,PK04,20,33,25,20,0.6006379585326953,19.89,2116.7999999999997,1512.0,302811.549599844,0,306440.34959984396,False
P0077,PK04,3,7,30,3,0.42808612440191385,3.1610000000000005,11975.599999999999,8554.0,150.9306192,0,20680.5306192,False
P0078,PK04,2,4,21,2,0.4697607655502392,3.0614,8077.999999999999,5770.0,49.97293140000001,0,13897.9729314,False
P0079,PK05,1,5,14,0,0.19181875,67.48830000000001,2043600.0,574762.5,11731.676638500001,0,2630094.1766385,False
P0080,PK04,3,5,22,3,0.5967942583732057,3.9629000000000003,59628.799999999996,42592.0,1713.079068864,0,103933.87906886399,False
P0081,PK04,3,11,38,3,0.2563636363636363,2.6731999999999996,35789.6,25564.0,1765.45592064,0,63119.05592064,False
P0082,PK04,3,11,5,3,0.26789473684210524,14.1905,14120.4,10086.0,414.081395676,0,24620.481395676,False
P0083,PK04,1,3,3,0,0.3292663476874003,7.284,38334.799999999996,27382.0,800.6400963000001,0,66517.4400963,False
P0084,PK04,1,3,4,1,0.2557735247208931,6.0714,71898.4,51356.0,614.8126679039999,0,123869.212667904,False
P0085,PK04,124,409,155,300,0.30258373205741623,19.970399999999998,249.2,178.0,1629.2900917799998,0,2056.4900917799996,False
P0086,PK05,5,8,35,5,0.5816927083333334,115.5265,74688.0,21006.0,419.61585600000006,0,96113.615856,False
P0087,PK04,3,13,16,3,0.21483253588516743,5.255,28170.8,20122.0,3734.558670492,0,52027.358670492,False
P0088,PK04,8,17,14,8,0.4645614035087719,14.2416,6932.799999999999,4952.0,829.6190474399999,0,12714.419047439998,False
P0089,PK04,1,1,2,0,0.639712918660287,12.3185,84826.0,60590.0,3005.2034100000005,0,148421.20341,False
P0090,PK04,5,14,6,6,0.34577352472089307,18.105,8458.8,6042.0,1002.48156096,0,15503.28156096,False
P0091,PK04,3,7,8,3,0.4009090909090909,9.1658,28266.0,20190.0,487.10980744799997,0,48943.109807448,False
P0092,PK04,1,1,7,0,0.9555023923444975,3.8918,42294.0,30210.0,2353.5024975,0,74857.5024975,False
P0093,PK04,1,2,7,0,0.46832535885167464,4.1171,42364.0,30260.0,820.6279603199999,0,73444.62796032,False
P0094,PK04,1,2,6,1,0.4709409888357256,4.3735,84660.79999999999,60472.0,1197.665617824,0,146330.465617824,False
P0095,PK04,1,2,5,0,0.4768261562998405,5.3065999999999995,61359.2,43828.0,2418.070439304,0,107605.270439304,False
P0096,PK04,2,5,10,2,0.359170653907496,5.5192,186922.4,133516.0,8883.24535332,0,329321.64535332,False
P0097,PK04,9,23,11,16,0.3848325358851674,18.950300000000002,9436.0,6740.0,11399.529173472,0,27575.529173472,False
P0098,PK04,2,3,11,2,0.5766188197767145,4.9824,21123.199999999997,15088.0,1698.5243577600002,0,37909.724357759995,False
P0099,PK04,6,13,14,6,0.4341626794258373,10.446200000000001,2704.7999999999997,1932.0,9160.085624832001,0,13796.885624832,False
P0100,PK04,1,1,2,0,0.9133971291866028,11.802900000000001,106534.4,76096.0,474.610752,0,183105.010752,False
P0101,PK04,16,25,29,16,0.624688995215311,13.952,31992.8,22852.0,66685.250859552,0,121530.05085955201,False
P0102,PK02,1,2,1,0,0.4197526041666667,30.994999999999997,20379.545454545456,35868.0,308.21570955000004,0,56555.76116409546,True
P0103,PK04,2,5,11,2,0.33441786283891545,4.8064,17995.6,12854.0,1032.305249664,0,31881.905249664,False
P0104,PK04,2,4,5,2,0.47971291866028704,9.9824,21095.199999999997,15068.0,4123.812650880001,0,40287.012650879995,False
P0105,PK04,1,1,4,0,0.9222807017543859,6.063899999999999,178256.4,127326.0,3919.0148285759997,0,309501.41482857603,False
P0106,PK05,5,9,52,5,0.5344322916666666,85.322,97888.0,27531.0,286.25779800000004,0,125705.257798,False
P0107,PK04,4,9,6,4,0.4363636363636363,15.6912,71607.2,51148.0,10934.384879088,0,133689.58487908798,False
P0108,PK04,1,4,1,0,0.24928229665071772,13.447700000000001,55543.6,39674.0,120.410034564,0,95338.01003456401,False
P0109,PK05,2,5,37,2,0.34425208333333335,58.6514,428832.0,120609.0,1665.1401829200004,0,551106.14018292,False
P0110,PK04,10,21,26,10,0.4547049441786283,9.714,2914.7999999999997,2082.0,154.32816671999998,0,5151.128166719999,False
P0111,PK04,12,15,39,12,0.7621052631578947,8.168000000000001,3519.6,2514.0,2171.19143304,0,8204.79143304,False
P0112,PK05,5,8,193,5,0.5585833333333333,40.7625,41168.0,11578.5,1186.672746,0,53933.172746,False
P0113,PK04,16,22,22,16,0.718341307814992,17.723200000000002,2029.9999999999998,1450.0,28.017997020000003,0,3508.01799702,False
P0114,PK05,3,4,32,3,0.7446375000000001,84.5856,93136.0,26194.5,544.21641594,0,119874.71641594,False
P0115,PK04,1,1,3,0,0.9367942583732056,8.6288,24379.6,17414.0,155.42392039199999,0,41949.023920392,False
P0116,PK04,3,4,4,3,0.6306698564593302,15.919700000000002,18496.8,13212.0,819.246630816,0,32528.046630816,False
P0117,PK04,2,4,19,2,0.4270813397129186,3.311,21182.0,15130.0,835.0982880480001,0,37147.098288048,False
P0118,PK04,9,24,12,10,0.3644497607655502,18.3959,4743.2,3388.0,995.2495808639999,0,9126.449580864,False
P0119,PK04,4,12,15,4,0.31553429027113233,6.808,7660.799999999999,5472.0,1756.7436781440001,0,14889.543678144,False
P0120,PK04,1,3,5,0,0.28406698564593297,5.156,36078.0,25770.0,191.71550268,0,62039.71550268,False
P0121,PK04,1,1,2,0,0.533157894736842,11.159500000000001,32418.399999999998,23156.0,4215.868009752,0,59790.26800975199,False
P0122,PK04,20,33,34,20,0.5984051036682615,14.734,15511.999999999998,11080.0,1229.98623864,0,27821.98623864,False
P0123,PK04,4,10,7,4,0.36688995215311004,12.828000000000001,7685.999999999999,5490.0,127.290038436,0,13303.290038436,False
P0124,PK04,3,5,17,3,0.5367464114832536,4.860799999999999,21663.6,15474.0,227.548388592,0,37365.148388591995,False
P0125,PK04,32,53,41,36,0.5986602870813397,19.494400000000002,560.0,400.0,17.790090264000003,0,977.790090264,False
P0126,PK04,1,2,5,0,0.43031897926634766,5.0443999999999996,42361.2,30258.0,630.1331377199999,0,73249.33313772,False
P0127,PK04,1,1,3,0,0.8204306220095693,7.0267,84652.4,60466.0,1235.0918185199998,0,146353.49181852,False
P0128,PK04,3,7,5,3,0.41971291866028704,14.771,60603.2,43288.0,90.04111632,0,103981.24111632,False
P0129,PK04,2,3,6,2,0.6132695374800637,8.015600000000001,42403.2,30288.0,5992.819029900001,0,78684.0190299,False
P0130,PK04,1,3,3,0,0.30127591706539075,8.3716,42254.799999999996,30182.0,321.79161049199996,0,72758.59161049199,False
P0131,PK04,1,1,2,0,0.9040669856459329,12.5106,393937.6,281384.0,3823.76375592,0,679145.36375592,False
P0132,PK04,1,2,7,1,0.4088357256778309,4.0836,42856.799999999996,30612.0,639.887166576,0,74108.68716657598,False
P0133,PK04,3,6,15,3,0.4394258373205741,5.3777,44032.799999999996,31452.0,3110.5909629599996,0,78595.39096296,False
P0134,PK05,4,7,33,4,0.546225,101.1304,51232.0,14409.0,167.5083514,0,65808.5083514,False
P0135,PK04,2,2,9,2,0.6867623604465709,5.9356,72094.4,51496.0,1888.0293635519997,0,125478.429363552,False
P0136,PK04,4,8,17,4,0.4938437001594896,6.3464,10550.4,7536.0,1541.33874312,0,19627.73874312,False
P0137,PK04,2,7,3,3,0.283030303030303,16.6614,5751.2,4108.0,983.1224561040002,0,10842.322456104,False
P0138,PK04,1,1,3,0,0.6407974481658691,7.5432999999999995,42196.0,30140.0,944.9588042400001,0,73280.95880424,False
P0139,PK05,4,7,107,4,0.5573791666666666,48.1468,315296.0,88677.0,1335.1524416,0,405308.1524416,False
P0140,PK04,1,2,9,0,0.47137161084529505,3.2121000000000004,138311.59999999998,98794.0,2344.2689948400002,0,239449.86899483998,False
P0141,PK03,1,1,1,0,0.9983184523809524,20.1466,18753.76,36297.6,362.46905864400003,0,55413.829058644,True
P0142,PK04,1,1,4,0,0.9812759170653906,5.9982,32373.6,23124.0,200.30193791999997,0,55697.901937919996,False
P0143,PK04,2,5,14,2,0.370749601275917,4.115,6403.599999999999,4574.0,81.621310176,0,11059.221310175999,False
P0144,PK04,2,5,9,2,0.3958851674641148,5.886,42389.2,30278.0,3893.29278624,0,76560.49278623999,False
P0145,PK04,3,7,11,3,0.4188516746411483,6.989299999999999,59676.399999999994,42626.0,1472.632036344,0,103775.032036344,False
P0146,PK04,3,4,7,3,0.7496172248803827,10.7645,3844.3999999999996,2746.0,257.2359655679999,0,6847.635965568,False
P0147,PK04,3,4,6,3,0.6819617224880382,11.888000000000002,5980.799999999999,4272.0,108.56048332800002,0,10361.360483327999,False
P0148,PK05,1,4,33,0,0.24553958333333337,43.326,92384.0,25983.0,33.14356836,0,118400.14356836,False
P0149,PK04,3,5,6,3,0.5329665071770335,11.685500000000001,14075.599999999999,10054.0,1722.35158368,0,25851.95158368,False
P0150,PK04,6,13,14,6,0.44344497607655503,10.4954,2696.3999999999996,1926.0,303.28604459999997,0,4925.686044599999,False
P0151,PK04,3,6,8,3,0.4435406698564593,9.6767,32561.199999999997,23258.0,638.633163168,0,56457.833163168,False
P0152,PK04,36,49,145,36,0.7268899521531099,6.722,5972.4,4266.0,2600.009044776,0,12838.409044775999,False
P0153,PK04,2,6,11,2,0.30207336523125994,4.8229999999999995,21165.199999999997,15118.0,795.424620144,0,37078.62462014399,False
P0154,PK05,4,7,90,4,0.5421333333333334,52.636399999999995,34928.0,9823.5,215.76422720000002,0,44967.2642272,False
P0155,PK04,12,31,15,20,0.3825837320574162,19.8608,2702.0,1930.0,1819.4162363520002,0,6451.416236352,False
P0156,PK04,3,7,11,3,0.39311004784688985,7.0348999999999995,23990.399999999998,17136.0,30593.378462399996,0,71719.77846239999,False
P0157,PK04,16,33,33,16,0.4736204146730462,12.152000000000001,2646.0,1890.0,959.2424805599999,0,5495.24248056,False
P0158,PK04,21,44,26,30,0.47157894736842104,19.4816,11888.8,8492.0,5531.049780480001,0,25911.84978048,False
P0159,PK04,3,6,16,3,0.4576555023923445,5.289499999999999,7005.599999999999,5004.0,109.092071424,0,12118.692071423999,False
P0160,PK04,1,1,5,0,0.6020733652312599,5.1559,27678.0,19770.0,1660.9345585200003,0,49108.93455852,False
P0161,PK04,2,6,16,2,0.3008612440191387,3.6982,30685.199999999997,21918.0,420.0699888,0,53023.2699888,False
P0162,PK04,1,2,15,0,0.37199362041467304,2.3869,17875.199999999997,12768.0,806.0072469119999,0,31449.207246911996,False
P0163,PK02,1,1,5,0,0.9077213541666667,10.0302,24046.59090909091,42322.0,643.6586715,0,67012.24958059091,True
P0164,PK04,2,7,19,2,0.282615629984051,3.295,157178.0,112270.0,3895.76136564,0,273343.76136564,False
P0165,PK04,1,1,3,0,0.5220733652312599,7.284,141139.59999999998,100814.0,466.870037256,0,242420.470037256,False
P0166,PK04,1,1,5,0,0.5424720893141945,5.3385,61636.399999999994,44026.0,393.46670174400003,0,106055.86670174399,False
P0167,PK04,1,3,2,0,0.26213716108452945,11.264100000000001,84823.2,60588.0,1163.127102984,0,146574.327102984,False
P0168,PK04,28,53,62,28,0.5229346092503986,11.496,3012.7999999999997,2152.0,1786.9729201199996,0,6951.772920119999,False
P0169,PK03,1,1,1,0,0.9330803571428571,18.634900000000002,84514.68,163576.8,232.02040018500003,0,248323.50040018497,True
P0170,PK05,4,10,67,4,0.3693375,62.3756,60448.0,17001.0,852.0796095000001,0,78301.0796095,False
P0171,PK04,2,6,13,2,0.301371610845295,4.3658,42240.799999999996,30172.0,3249.32437674,0,75662.12437673999,False
P0172,PK04,2,2,6,2,0.760127591706539,8.475200000000001,13885.199999999999,9918.0,1777.8983392800003,0,25581.098339279997,False
P0173,PK04,1,1,4,0,0.6340988835725677,6.3064,30858.8,22042.0,95.00057915999999,0,52995.80057916,False
P0174,PK04,2,2,9,2,0.6703030303030303,6.0466,128066.4,91476.0,20311.895995776,0,239854.295995776,False
P0175,PK05,5,11,45,5,0.433546875,95.474,97136.0,27319.5,497.2877805600001,0,124952.78778056,False
P0176,PK04,2,6,4,2,0.31480063795853264,11.2942,13848.8,9892.0,73.44928704,0,23814.24928704,False
P0177,PK04,2,3,4,2,0.5827751196172248,11.763200000000001,22209.6,15864.0,5216.903388815999,0,43290.503388815996,False
P0178,PK04,3,7,8,3,0.41502392344497596,8.898800000000001,5392.799999999999,3852.0,552.3769935360001,0,9797.176993535999,False
P0179,PK04,8,17,28,8,0.46303030303030296,7.6088,5306.0,3790.0,775.9956060480001,0,9871.995606048,False
P0180,PK04,1,1,2,0,0.6160287081339713,11.7163,30645.999999999996,21890.0,4724.261580060001,0,57260.26158006,False
P0181,PK04,3,6,9,3,0.48186602870813394,8.344100000000001,87301.2,62358.0,253.19867263199995,0,149912.398672632,False
P0182,PK04,24,34,44,24,0.7054545454545454,13.851199999999999,7072.799999999999,5052.0,230.3466984,0,12355.1466984,False
P0183,PK04,16,24,25,16,0.6593939393939393,15.894400000000001,2654.3999999999996,1896.0,171.19595050799998,0,4721.595950508,False
P0184,PK04,1,2,12,0,0.4216267942583732,2.7911,264863.2,189188.0,591.574227456,0,454642.774227456,False
P0185,PK04,11,37,13,18,0.29403508771929826,19.7849,579.5999999999999,414.0,192.50741664,0,1186.1074166399999,False
P0186,PK04,1,1,2,0,0.7411483253588516,10.1235,200488.4,143206.0,12697.936537356,0,356392.336537356,False
P0187,PK04,1,1,5,0,0.6994098883572568,5.5775999999999994,84565.59999999999,60404.0,1516.64296128,0,146486.24296128,False
P0188,PK04,8,14,19,8,0.5511961722488038,10.794400000000001,5280.799999999999,3772.0,7809.093780876001,0,16861.893780876002,False
P0189,PK04,5,15,12,5,0.3136363636363636,10.762500000000001,45525.2,32518.0,32329.610218799997,0,110372.81021879999,False
P0190,PK05,4,9,20,4,0.41511666666666663,148.7208,199456.0,56097.0,1991.21113376,0,257544.21113376,False
P0191,PK04,4,8,7,4,0.4780223285486443,14.3932,2898.0,2070.0,486.2613456,0,5454.2613456,False
P0192,PK04,12,19,16,16,0.602488038277512,18.59,21915.6,15654.0,36389.817154224,0,73959.41715422401,False
P0193,PK04,2,6,36,2,0.3117065390749601,2.1315999999999997,63629.99999999999,45450.0,5445.467935488001,0,114525.467935488,False
P0194,PK04,8,15,73,8,0.5065390749601275,3.4024,22388.8,15992.0,323.55154188,0,38704.35154188,False
P0195,PK04,1,1,7,0,0.7504784688995214,3.9717000000000002,42226.799999999996,30162.0,97.48780668,0,72486.28780667999,False
P0196,PK04,14,29,18,16,0.4811802232854863,19.2898,35221.2,25158.0,1361.9235888,0,61741.123588799994,False
P0197,PK04,3,11,14,3,0.25851674641148326,5.683999999999999,21722.399999999998,15516.0,590.539953024,0,37828.939953024,False
P0198,PK04,2,7,9,2,0.27929824561403505,5.8048,91450.79999999999,65322.0,2012.0221152000004,0,158784.8221152,False
P0199,PK04,3,4,6,3,0.6284688995215311,12.575,21666.399999999998,15476.0,715.3392242880001,0,37857.739224287994,False
P0200,PK04,1,1,3,0,0.7041626794258373,7.0815,35848.399999999994,25606.0,369.571398,0,61823.971397999994,False
P0201,PK04,3,6,9,3,0.44291866028708127,8.444600000000001,40832.399999999994,29166.0,26289.911224008,0,96288.311224008,False
P0202,PK04,12,20,15,12,0.5850717703349281,19.5548,12614.0,9010.0,8927.360562540001,0,30551.36056254,False
P0203,PK05,4,10,32,4,0.3676625,102.9304,276592.0,77791.5,784.3634627399999,0,355167.86346274,False
P0204,PK04,3,9,5,3,0.3153588516746411,13.406,27017.199999999997,19298.0,223.449535008,0,46538.649535008,False
P0205,PK04,3,8,42,3,0.3471291866028708,2.4844999999999997,87662.4,62616.0,1004.5791927360002,0,151282.979192736,False
P0206,PK04,1,1,6,0,0.6251036682615629,4.46,30715.999999999996,21940.0,1606.9136832,0,54262.9136832,False
P0207,PK04,4,12,7,4,0.30928229665071766,14.1552,59642.799999999996,42602.0,5485.6380096,0,107730.4380096,False
P0208,PK04,1,1,2,0,0.6293779904306219,10.937100000000001,64758.399999999994,46256.0,279.496514304,0,111293.896514304,False
P0209,PK04,10,21,53,10,0.46299840510366824,5.299,4230.8,3022.0,738.99885252,0,7991.79885252,False
P0210,PK04,2,4,16,2,0.46124401913875596,3.6314,15313.199999999999,10938.0,477.41613624000007,0,26728.616136239998,False
P0211,PK04,2,3,5,2,0.514481658692185,10.1988,6372.799999999999,4552.0,554.7027673079999,0,11479.502767307999,False
P0212,PK04,15,18,19,16,0.8023923444976075,19.112000000000002,2396.7999999999997,1712.0,698.8288272,0,4807.628827199999,False
P0213,PK04,1,1,8,0,0.6983572567783093,3.6666,84422.79999999999,60302.0,444.054038472,0,145168.854038472,False
P0214,PK04,10,21,13,12,0.47591706539074957,18.846,41770.399999999994,29836.0,3414.819708,0,75021.21970799999,False
P0215,PK04,20,32,25,24,0.6194577352472088,19.566000000000003,22962.8,16402.0,87.06538176000001,0,39451.865381760006,False
P0216,PK04,10,24,29,10,0.4165869218500797,8.999,3231.2,2308.0,105.27943588800001,0,5644.479435888,False
P0217,PK04,3,7,4,3,0.4040669856459329,17.501,6966.4,4976.0,66.851942976,0,12009.251942976,False
P0218,PK04,7,21,9,8,0.3219776714513556,18.108900000000002,6056.4,4326.0,142.05050496,0,10524.45050496,False
P0219,PK04,12,19,40,12,0.6070813397129187,7.8368,7056.0,5040.0,1178.9173854,0,13274.9173854,False
P0220,PK04,6,21,8,10,0.2764593301435407,18.005000000000003,81830.0,58450.0,3947.846594496,0,144227.846594496,False
P0221,PK04,8,14,16,8,0.5709728867623604,12.664000000000001,55949.6,39964.0,16211.80224756,0,112125.40224756,False
P0222,PK04,3,6,6,3,0.4439712918660287,11.4872,14120.4,10086.0,309.21981552,0,24515.61981552,False
P0223,PK04,2,3,15,2,0.5902392344497607,3.928,7299.599999999999,5214.0,85.079841264,0,12598.679841263998,False
P0224,PK04,8,15,19,8,0.5098564593301436,10.72,21593.6,15424.0,450.616184088,0,37468.216184088,False
P0225,PK04,3,14,4,4,0.21181818181818182,16.334600000000002,7154.0,5110.0,245.57083833599998,0,12509.570838336,False
P0226,PK04,3,10,18,3,0.2882296650717703,4.6199,2116.7999999999997,1512.0,13.626724608000002,0,3642.426724608,False
