part_id,packaging_id,containers_per_day,loop_days,minimum_theoretical_fleet,operational_fleet,safety_allowance_units,container_asset_eur
P0140,PK03,135.33424657534246,7.24,980,1129,149,169350.0
P0141,PK06,2.9596868884540117,6.08,18,21,3,26250.0
P0142,PK06,1.9797945205479452,3.58,8,10,2,12500.0
P0145,PK03,58.39086757990867,10.4,608,691,83,103650.0
P0146,PK02,3.761643835616438,4.859999999999999,19,23,4,4255.0
P0147,PK03,5.850228310502284,9.64,57,65,8,9750.0
P0148,PK06,3.9547945205479453,3.02,12,15,3,18750.0
P0149,PK03,13.771689497716894,9.16,127,145,18,21750.0
P0151,PK03,31.859360730593608,9.64,308,351,43,52650.0
P0152,PK03,7.011780821917808,3.2,23,28,5,4200.0
P0153,PK02,13.806392694063925,6.44,89,104,15,19240.0
P0154,PK06,4.784657534246575,4.3,21,25,4,31250.0
P0155,PK03,1.86607574536664,10.42,20,23,3,3450.0
P0156,PK03,23.472146118721458,7.24,170,196,26,29400.0
P0157,PK03,1.7244292237442922,5.38,10,12,2,1800.0
P0158,PK03,8.142831050228311,4.779999999999999,39,46,7,6900.0
P0159,PK03,6.85296803652968,8.82,61,70,9,10500.0
P0160,PK03,27.08219178082192,6.82,185,214,29,32100.0
P0162,PK01,17.49041095890411,9.82,172,196,24,23520.0
P0163,PK06,5.915851272015656,5.34,32,38,6,47500.0
P0164,PK03,153.7945205479452,3.94,606,725,119,108750.0
P0165,PK03,138.1013698630137,5.54,766,895,129,134250.0
P0166,PK02,30.154794520547945,8.82,266,304,38,56240.0
P0168,PK03,3.438013698630137,9.280000000000001,32,37,5,5550.0
P0169,PK06,15.56095890410959,9.82,153,175,22,218750.0
P0170,PK06,4.13945205479452,3.1799999999999997,14,17,3,21250.0
P0171,PK02,27.553424657534247,8.82,244,279,35,51615.0
P0172,PK02,13.584931506849315,4.12,56,67,11,12395.0
P0173,PK03,30.194520547945206,8.82,267,306,39,45900.0
P0174,PK03,125.30958904109589,7.98,1000,1147,147,172050.0
P0175,PK06,6.92945205479452,9.64,67,77,10,96250.0
P0176,PK02,9.0337899543379,7.28,66,76,10,14060.0
P0177,PK02,14.48675799086758,10.4,151,172,21,31820.0
P0178,PK03,5.274885844748859,10.14,54,62,8,9300.0
P0179,PK02,2.59486301369863,6.08,16,19,3,3515.0
P0180,PK06,1.0709393346379648,3.1799999999999997,4,5,1,6250.0
P0182,PK02,5.535616438356164,5.34,30,36,6,6660.0
P0183,PK02,2.595376712328767,4.96,13,16,3,2960.0
P0184,PK03,259.1616438356164,10.42,2701,3069,368,460350.0
P0185,PK03,0.4158904109589041,8.219999999999999,4,5,1,750.0
P0186,PK06,10.898477929984779,9.16,100,115,15,143750.0
P0187,PK03,82.74520547945205,9.02,747,853,106,127950.0
P0188,PK02,5.166780821917809,3.58,19,23,4,4255.0
P0189,PK03,27.840753424657535,4.859999999999999,136,161,25,24150.0
P0190,PK06,27.322739726027397,8.82,241,276,35,345000.0
P0191,PK02,2.834246575342466,4.96,15,18,3,3330.0
P0192,PK02,16.082705479452056,9.64,156,178,22,32930.0
P0194,PK02,21.906164383561645,7.44,163,188,25,34780.0
P0195,PK03,41.31780821917808,8.66,358,410,52,61500.0
P0196,PK02,24.123287671232877,8.48,205,235,30,43475.0
P0197,PK02,7.970547945205479,10.42,84,96,12,17760.0
P0198,PK02,59.654794520547945,7.24,432,498,66,92130.0
P0199,PK03,21.2,3.64,78,94,16,14100.0
P0200,PK03,35.07671232876712,10.42,366,416,50,62400.0
P0201,PK03,39.95342465753425,6.08,243,283,40,42450.0
P0202,PK02,9.256678082191781,10.12,94,107,13,19795.0
P0203,PK06,18.944383561643836,8.66,165,189,24,236250.0
P0204,PK03,26.435616438356163,3.1799999999999997,85,104,19,15600.0
P0205,PK02,32.165068493150685,8.4,271,311,40,57535.0
P0206,PK03,30.054794520547944,6.22,187,217,30,32550.0
P0207,PK03,58.35890410958904,8.66,506,579,73,86850.0
P0208,PK06,1.7601217656012176,4.96,9,11,2,13750.0
P0209,PK02,4.139726027397261,3.02,13,16,3,2960.0
P0210,PK03,14.983561643835616,4.12,62,74,12,11100.0
P0211,PK03,6.234246575342466,6.08,38,45,7,6750.0
P0212,PK02,2.1982876712328765,5.52,13,16,3,2960.0
P0213,PK03,82.6054794520548,5.38,445,521,76,78150.0
P0216,PK02,1.5806849315068494,4.54,8,10,2,1850.0
P0217,PK02,6.816438356164383,8.5,58,67,9,12395.0
P0218,PK02,4.147945205479452,8.82,37,43,6,7955.0
P0219,PK03,6.902739726027398,6.82,48,56,8,8400.0
P0220,PK02,43.67322540473226,7.98,349,401,52,74185.0
P0221,PK03,54.74486301369863,3.1799999999999997,175,214,39,32100.0
P0222,PK02,10.362328767123287,7.24,76,88,12,16280.0
P0223,PK03,7.142465753424657,10.42,75,86,11,12900.0
P0224,PK03,21.128082191780823,5.34,113,133,20,19950.0
P0226,PK03,1.0356164383561643,9.64,10,12,2,1800.0
P0227,PK03,36.87488584474886,3.02,112,138,26,20700.0
P0228,PK03,27.705936073059362,10.42,289,329,40,49350.0
P0229,PK03,9.057534246575342,6.76,62,72,10,10800.0
P0230,PK06,0.8811263318112633,3.56,4,5,1,6250.0
P0231,PK02,2.7145205479452055,4.18,12,15,3,2775.0
P0232,PK03,11.690867579908677,4.54,54,64,10,9600.0
P0233,PK06,35.8880626223092,9.64,346,395,49,493750.0
P0234,PK03,1.3368537339814406,3.2,5,7,2,1050.0
P0236,PK06,40.043287671232875,4.96,199,234,35,292500.0
P0237,PK03,10.070319634703196,6.44,65,76,11,11400.0
P0238,PK03,18.165296803652968,10.4,189,215,26,32250.0
P0239,PK03,7.114383561643836,4.779999999999999,35,42,7,6300.0
P0240,PK06,3.753767123287671,8.48,32,37,5,46250.0
P0242,PK01,129.55616438356165,9.64,1249,1423,174,170760.0
P0244,PK06,13.124429223744292,8.9,117,134,17,167500.0
P0245,PK03,31.016438356164382,6.22,193,224,31,33600.0
P0246,PK03,0.6881080007941235,8.66,6,7,1,1050.0
P0247,PK06,2.638812785388128,10.42,28,32,4,40000.0
P0248,PK02,192.77260273972604,9.219999999999999,1778,2029,251,375365.0
P0249,PK03,3.189954337899543,3.2,11,14,3,2100.0
P0250,PK02,11.744292237442922,4.859999999999999,58,69,11,12765.0
P0251,PK03,82.79178082191781,7.98,661,759,98,113850.0
P0252,PK06,5.677397260273972,10.14,58,66,8,82500.0
P0253,PK02,31.832876712328765,7.44,237,273,36,50505.0
P0254,PK02,13.793607305936073,3.1799999999999997,44,54,10,9990.0
P0255,PK02,41.35616438356164,10.42,431,490,59,90650.0
P0256,PK02,6.008219178082191,10.12,61,70,9,12950.0
P0257,PK06,11.818786692759295,9.02,107,123,16,153750.0
P0258,PK01,20.009132420091323,4.859999999999999,98,116,18,13920.0
P0259,PK03,310.44657534246574,10.14,3148,3580,432,537000.0
P0260,PK02,6.025616438356165,5.34,33,39,6,7215.0
P0261,PK03,236.35890410958905,10.14,2397,2726,329,408900.0
P0263,PK02,6.760958904109589,6.82,47,55,8,10175.0
P0264,PK03,8.312198303979127,7.62,64,74,10,11100.0
P0265,PK02,4.395034246575342,6.22,28,33,5,6105.0
P0266,PK03,1.2989852866565197,9.280000000000001,13,15,2,2250.0
P0268,PK06,8.300821917808218,7.98,67,77,10,96250.0
P0269,PK03,19.317123287671233,9.64,187,213,26,31950.0
P0270,PK03,4.1461643835616435,4.96,21,25,4,3750.0
P0271,PK03,167.9808219178082,9.64,1620,1845,225,276750.0
P0272,PK02,13.767579908675799,8.66,120,138,18,25530.0
P0273,PK03,20.726027397260275,3.02,63,78,15,11700.0
P0274,PK03,82.57808219178082,6.22,514,597,83,89550.0
P0275,PK06,8.298082191780821,8.48,71,82,11,102500.0
P0276,PK02,15.006849315068493,9.64,145,166,21,30710.0
P0277,PK03,10.043835616438356,4.9,50,59,9,8850.0
P0279,PK06,7.296986301369863,6.08,45,53,8,66250.0
P0280,PK06,36.86780821917808,9.280000000000001,343,392,49,490000.0
P0282,PK03,41.367123287671234,4.859999999999999,202,238,36,35700.0
P0284,PK03,17.575342465753426,3.1799999999999997,56,69,13,10350.0
P0285,PK02,28.557077625570773,7.28,208,240,32,44400.0
P0286,PK02,4.131232876712329,9.64,40,46,6,8510.0
P0287,PK02,9.0337899543379,4.3,39,47,8,8695.0
P0288,PK02,16.452602739726025,8.219999999999999,136,156,20,28860.0
P0290,PK03,80.8283105022831,6.44,521,604,83,90600.0
P0291,PK02,10.307876712328767,5.58,58,68,10,12580.0
P0292,PK01,138.9945205479452,4.96,690,812,122,97440.0
P0293,PK03,12.578183663115169,3.88,49,59,10,8850.0
P0294,PK03,20.5972602739726,4.12,85,102,17,15300.0
P0295,PK03,5.922504892367906,8.219999999999999,49,57,8,8550.0
P0296,PK03,9.050228310502282,4.779999999999999,44,52,8,7800.0
P0297,PK02,2.0767123287671234,8.219999999999999,18,21,3,3885.0
P0299,PK02,7.975342465753425,9.64,77,88,11,16280.0
P0300,PK02,4.140547945205479,6.44,27,32,5,5920.0
P0301,PK03,29.656164383561645,3.56,106,128,22,19200.0
P0302,PK03,41.42328767123288,8.82,366,419,53,62850.0
P0303,PK06,1.7218036529680365,10.42,18,21,3,26250.0
P0304,PK03,0.9378365611714691,4.859999999999999,5,6,1,900.0
P0305,PK02,27.136986301369863,9.02,245,280,35,51800.0
P0310,PK03,2.924200913242009,6.44,19,22,3,3300.0
P0311,PK06,16.576198630136986,6.04,101,118,17,147500.0
P0312,PK03,533.8109589041096,6.82,3641,4206,565,630900.0
P0313,PK03,0.5835616438356165,4.54,3,4,1,600.0
P0314,PK06,3.9115068493150686,4.12,17,21,4,26250.0
P0315,PK01,416.2821917808219,6.04,2515,2923,408,350760.0
P0317,PK06,8.310958904109588,9.64,81,93,12,116250.0
P0318,PK03,10.04840182648402,9.64,97,111,14,16650.0
P0319,PK03,74.74246575342465,6.08,455,529,74,79350.0
P0320,PK03,15.816438356164383,9.16,145,166,21,24900.0
P0321,PK02,8.266849315068495,5.58,47,55,8,10175.0
P0324,PK06,1.7216894977168948,5.58,10,12,2,15000.0
P0325,PK03,13.810045662100457,9.64,134,153,19,22950.0
P0326,PK03,10.065753424657535,4.3,44,53,9,7950.0
P0327,PK03,32.06940639269406,6.22,200,233,33,34950.0
P0329,PK01,38.443835616438356,3.88,150,180,30,21600.0
P0330,PK03,30.13150684931507,5.58,169,198,29,29700.0
P0331,PK06,47.516164383561645,9.16,436,498,62,622500.0
P0332,PK03,22.33881278538813,6.82,153,177,24,26550.0
P0333,PK03,396.3424657534247,6.22,2466,2862,396,429300.0
P0334,PK03,31.832876712328765,7.98,255,293,38,43950.0
P0335,PK03,156.62739726027397,4.96,777,914,137,137100.0
P0336,PK02,13.801826484018264,9.64,134,153,19,28305.0
P0337,PK03,277.6068493150685,4.96,1377,1619,242,242850.0
P0338,PK06,1.8725404732254047,4.12,8,10,2,12500.0
P0339,PK06,0.5661529680365297,4.68,3,4,1,5000.0
P0340,PK03,21.901712328767122,9.64,212,242,30,36300.0
P0341,PK03,30.522260273972602,4.54,139,165,26,24750.0
P0342,PK03,19.144292237442922,8.82,169,194,25,29100.0
P0343,PK01,63.602739726027394,4.68,298,352,54,42240.0
P0345,PK03,41.3986301369863,10.12,419,477,58,71550.0
P0346,PK06,12.990998043052837,9.280000000000001,121,138,17,172500.0
P0347,PK02,15.462785388127854,3.58,56,68,12,12580.0
P0348,PK03,82.73698630136987,4.68,388,458,70,68700.0
P0349,PK02,10.50958904109589,4.96,53,63,10,11655.0
P0350,PK06,4.515068493150685,3.02,14,18,4,22500.0
P0351,PK02,4.7835616438356166,4.54,22,26,4,4810.0
P0352,PK06,1.3558904109589043,8.66,12,14,2,17500.0
P0353,PK03,20.623287671232877,4.779999999999999,99,117,18,17550.0
P0354,PK03,6.820091324200913,8.66,60,69,9,10350.0
P0355,PK06,1.5982876712328766,9.219999999999999,15,18,3,22500.0
P0356,PK02,8.287945205479453,4.54,38,45,7,8325.0
P0357,PK03,13.807762557077625,9.16,127,145,18,21750.0
P0358,PK06,0.7319634703196347,9.82,8,10,2,12500.0
P0359,PK02,1.7052511415525116,4.3,8,10,2,1850.0
P0360,PK02,6.842009132420092,8.9,61,70,9,12950.0
P0361,PK03,11.779908675799087,5.38,64,75,11,11250.0
P0362,PK06,0.9497716894977168,3.58,4,5,1,6250.0
P0363,PK03,26.359360730593608,8.82,233,267,34,40050.0
P0364,PK03,18.465753424657535,7.24,134,155,21,23250.0
P0365,PK06,10.03744292237443,7.98,81,93,12,116250.0
P0366,PK02,162.03698630136986,9.82,1592,1812,220,335220.0
P0367,PK03,20.72876712328767,5.38,112,131,19,19650.0
P0368,PK03,41.53150684931507,5.58,232,271,39,40650.0
P0369,PK06,1.6077625570776257,7.38,12,14,2,17500.0
P0370,PK03,13.743835616438357,4.96,69,82,13,12300.0
P0371,PK03,5.96027397260274,4.12,25,30,5,4500.0
P0372,PK06,1.1482496194824963,4.859999999999999,6,8,2,10000.0
P0373,PK02,43.023972602739725,7.98,344,395,51,73075.0
P0374,PK03,2.5919520547945205,8.4,22,26,4,3900.0
P0375,PK06,6.894977168949771,6.08,42,49,7,61250.0
P0376,PK03,27.536986301369865,4.54,126,149,23,22350.0
P0377,PK03,26.889041095890413,6.12,165,192,27,28800.0
P0378,PK03,60.08401826484018,4.54,273,323,50,48450.0
P0379,PK02,13.812785388127855,9.02,125,143,18,26455.0
P0380,PK03,6.77054794520548,5.58,38,45,7,6750.0
P0381,PK03,10.607610350076104,4.9,52,62,10,9300.0
P0382,PK03,28.946118721461186,8.66,251,287,36,43050.0
P0383,PK02,7.0517808219178075,4.3,31,37,6,6845.0
P0384,PK02,8.048767123287671,6.22,51,60,9,11100.0
P0385,PK06,3.9821917808219176,3.2,13,16,3,20000.0
P0386,PK03,31.720547945205478,5.58,178,208,30,31200.0
P0388,PK06,8.85949119373777,3.88,35,42,7,52500.0
P0389,PK03,2.3015220700152206,6.08,14,17,3,2550.0
P0390,PK02,8.285479452054794,4.18,35,42,7,7770.0
P0391,PK06,25.245792563600784,8.219999999999999,208,239,31,298750.0
P0392,PK06,2.5570205479452053,4.96,13,16,3,20000.0
P0393,PK03,500.986301369863,3.02,1513,1853,340,277950.0
P0394,PK01,35.15890410958904,6.08,214,249,35,29880.0
P0395,PK02,19.02922374429224,6.08,116,135,19,24975.0
P0396,PK03,29.975342465753425,6.82,205,237,32,35550.0
P0397,PK03,13.610958904109589,5.34,73,86,13,12900.0
P0398,PK03,4.154109589041096,4.96,21,25,4,3750.0
P0399,PK02,10.327739726027398,6.44,67,78,11,14430.0
P0400,PK03,5.189041095890411,8.4,44,51,7,7650.0
P0401,PK02,27.674885844748857,4.9,136,160,24,29600.0
P0403,PK06,7.478082191780822,10.12,76,87,11,108750.0
P0404,PK06,8.754794520547945,8.48,75,86,11,107500.0
P0405,PK03,82.93698630136986,9.64,800,912,112,136800.0
P0406,PK02,9.485844748858447,10.14,97,111,14,20535.0
P0408,PK01,41.465753424657535,3.1799999999999997,132,161,29,19320.0
P0409,PK02,0.6142262810755962,3.54,3,4,1,740.0
P0411,PK03,7.194785682722051,10.42,75,86,11,12900.0
P0412,PK02,11.6675799086758,9.64,113,129,16,23865.0
P0413,PK02,51.58538812785388,10.42,538,612,74,113220.0
P0414,PK03,7.567123287671233,10.14,77,88,11,13200.0
P0415,PK03,70.2958904109589,9.16,644,735,91,110250.0
P0416,PK03,31.654794520547945,6.2,197,229,32,34350.0
P0417,PK03,109.55479452054794,8.82,967,1105,138,165750.0
P0418,PK02,13.173059360730592,7.38,98,113,15,20905.0
P0419,PK03,152.76712328767124,5.38,822,962,140,144300.0
P0420,PK02,15.056849315068494,9.280000000000001,140,160,20,29600.0
P0421,PK02,10.168188736681888,3.58,37,45,8,8325.0
P0422,PK03,9.602739726027398,3.64,35,43,8,6450.0
P0423,PK02,2.0703196347031962,6.08,13,16,3,2960.0
P0424,PK02,40.4,9.16,371,424,53,78440.0
P0425,PK03,13.790867579908676,6.82,95,110,15,16500.0
P0426,PK06,2.5881849315068495,8.82,23,27,4,33750.0
P0427,PK06,12.311154598825832,8.82,109,125,16,156250.0
P0429,PK02,6.7832191780821915,10.14,69,79,10,14615.0
P0430,PK02,10.398630136986302,7.28,76,88,12,16280.0
P0431,PK03,82.53150684931506,8.82,728,832,104,124800.0
P0432,PK02,6.363561643835617,6.2,40,47,7,8695.0
P0434,PK06,42.081963470319636,6.04,255,297,42,371250.0
P0437,PK02,6.87716894977169,4.54,32,38,6,7030.0
P0438,PK03,35.16164383561644,5.58,197,230,33,34500.0
P0439,PK03,54.06027397260274,9.02,488,558,70,83700.0
P0441,PK02,20.010045662100456,3.02,61,75,14,13875.0
P0442,PK03,82.84657534246575,8.82,731,836,105,125400.0
P0444,PK03,17.5972602739726,3.58,63,76,13,11400.0
P0445,PK03,31.64840182648402,6.08,193,225,32,33750.0
P0446,PK02,10.368493150684932,7.98,83,96,13,17760.0
P0447,PK03,63.56438356164384,5.52,351,410,59,61500.0
P0448,PK06,3.4429223744292234,4.96,18,22,4,27500.0
P0450,PK03,36.01643835616438,6.82,246,285,39,42750.0
P0451,PK03,4.257077625570776,8.4,36,42,6,6300.0
P0452,PK03,27.660273972602738,3.2,89,109,20,16350.0
P0453,PK02,8.292876712328766,10.12,84,96,12,17760.0
P0454,PK03,0.8921232876712328,8.66,8,10,2,1500.0
P0455,PK03,97.65205479452055,3.64,356,429,73,64350.0
P0456,PK06,27.906621004566208,6.44,180,209,29,261250.0
P0457,PK06,2.9199608610567513,8.82,26,30,4,37500.0
P0458,PK06,7.470547945205479,4.859999999999999,37,44,7,55000.0
P0459,PK02,20.713698630136985,8.48,176,202,26,37370.0
P0461,PK03,27.601826484018265,4.859999999999999,135,159,24,23850.0
P0463,PK03,17.645205479452056,8.82,156,179,23,26850.0
P0465,PK03,82.84383561643835,3.56,295,356,61,53400.0
P0466,PK02,5.228767123287671,7.44,39,45,6,8325.0
P0467,PK03,82.6,9.02,746,852,106,127800.0
P0468,PK03,48.272602739726025,5.54,268,313,45,46950.0
P0469,PK02,41.93972602739726,4.12,173,207,34,38295.0
P0470,PK03,180.0904109589041,7.98,1438,1650,212,247500.0
P0471,PK03,1.6660143509458578,6.08,11,13,2,1950.0
P0472,PK01,15.810958904109588,3.88,62,75,13,9000.0
P0473,PK02,10.78054794520548,6.08,66,77,11,14245.0
P0475,PK02,7.414520547945206,9.64,72,82,10,15170.0
P0477,PK01,41.37260273972603,3.54,147,178,31,21360.0
P0478,PK06,0.6558219178082192,10.14,7,8,1,10000.0
P0479,PK03,20.682191780821917,7.44,154,178,24,26700.0
P0481,PK03,47.38013698630137,4.3,204,243,39,36450.0
P0482,PK03,23.81917808219178,8.66,207,237,30,35550.0
P0483,PK02,11.467465753424657,9.64,111,127,16,23495.0
P0484,PK03,51.118721461187214,5.34,273,320,47,48000.0
P0485,PK06,2.301369863013699,8.5,20,23,3,28750.0
P0486,PK01,233.63561643835615,5.58,1304,1523,219,182760.0
P0487,PK03,73.91780821917808,4.96,367,432,65,64800.0
P0488,PK03,20.12054794520548,9.64,194,221,27,33150.0
P0489,PK02,27.651712328767122,7.24,201,232,31,42920.0
P0492,PK03,9.548858447488584,5.58,54,63,9,9450.0
P0493,PK03,68.6013698630137,4.96,341,401,60,60150.0
P0494,PK02,87.55433789954338,9.64,845,963,118,178155.0
P0496,PK02,34.363013698630134,3.02,104,128,24,23680.0
P0497,PK03,10.623287671232877,3.54,38,46,8,6900.0
P0498,PK03,10.337157534246575,7.28,76,88,12,13200.0
P0499,PK01,110.71232876712328,9.64,1068,1217,149,146040.0
P0500,PK03,17.53698630136986,4.859999999999999,86,102,16,15300.0
P0501,PK06,1.5123795027904618,4.9,8,10,2,12500.0
P0502,PK03,13.786301369863013,6.2,86,100,14,15000.0
