supplier_id,frequency_per_week,annual_transport_proxy_eur,annual_cycle_inventory_proxy_eur,annual_service_risk_proxy_eur,annual_weight_kg,annual_cube_m3,distance_km,minimum_physical_frequency
S049,2.0,17530.0,14438.853670999999,10612.557448185,663593.0347000001,6650.908650000001,43.0,1.642199666666667
S050,7.5,61327.50000000001,1750.3882176,1157.6431166399998,1116789.3115,26951.6976,37.4,6.654740148148148
S051,1.0,31550.0,6859.743506000001,1524.7338974699983,204393.4843,1501.1292,260.0,0.5
S052,1.0,27675.5,3589.7930200000005,2447.5861499999996,155916.35580000002,1178.16,223.1,0.5
S053,5.0,64090.0,4046.0912096,2256.6154155359995,1647776.4224,15494.1834,81.6,3.825724296296296
S054,3.0,32815.5,13608.546798000001,6365.088479610001,1090284.2929,10287.0069,63.7,2.540001703703704
S055,7.5,110152.5,8877.886849333334,5356.997632950001,1925191.7534,20662.27215,99.4,5.101795592592593
S056,25.0,376362.50000000006,3316.79427376,2184.5613193992003,11393188.943400001,88684.021275,102.9,21.897289203703707
S057,1.0,12146.0,26.838108,14.584071869999997,8493.7752,222.16320000000005,75.2,0.5
S058,3.0,94650.0,24172.42523666667,7762.644740775006,819195.9452,9069.7656,260.0,2.2394482962962963
S059,3.0,48534.0,32315.606509999998,8350.646500425011,1388237.8897,11097.036150000002,113.6,2.740008925925926
