part_id,line_family,returnable_packaging,expendable_alternative,break_even_cycles,annual_container_cycles,npv_advantage_returnable_eur_5y
P0149,body,PK03,PK04,69.44444444444446,5027.0,42638.75269880833
P0151,electronics,PK03,PK04,69.44444444444446,11629.0,98833.56975023713
P0152,powertrain,PK03,PK04,69.44444444444446,2560.0,21640.17443981487
P0153,electronics,PK02,PK04,90.2439024390244,5040.0,40529.71395981033
P0154,chassis,PK06,PK05,108.22510822510822,1747.0,78263.68477293446
P0155,powertrain,PK03,PK04,69.44444444444446,682.0,5655.038659356929
P0156,chassis,PK03,PK04,69.44444444444446,8568.0,72778.99007825537
P0157,interior,PK03,PK04,69.44444444444446,630.0,5212.42574104819
P0158,interior,PK03,PK04,69.44444444444446,2973.0,25155.542425613126
P0159,powertrain,PK03,PK04,69.44444444444446,2502.0,21146.490800162814
P0160,powertrain,PK03,PK04,69.44444444444446,9885.0,83989.01341311327
P0162,chassis,PK01,PK04,52.631578947368425,6384.0,57238.09459313766
P0163,chassis,PK06,PK05,108.22510822510822,2160.0,97061.13858588348
P0164,powertrain,PK03,PK04,69.44444444444446,56135.0,477659.1571011748
P0165,powertrain,PK03,PK04,69.44444444444446,50407.0,428903.641792089
P0166,chassis,PK02,PK04,90.2439024390244,11007.0,88733.0270943715
P0168,body,PK03,PK04,69.44444444444446,1255.0,10532.292547643618
P0169,powertrain,PK06,PK05,108.22510822510822,5680.0,257271.882948064
P0170,electronics,PK06,PK05,108.22510822510822,1511.0,67522.28259410645
P0171,interior,PK02,PK04,90.2439024390244,10057.0,81058.62664559772
P0172,interior,PK02,PK04,90.2439024390244,4959.0,39875.3703425991
P0173,interior,PK03,PK04,69.44444444444446,11021.0,93658.4033207811
P0174,thermal,PK03,PK04,69.44444444444446,45738.0,389162.1088000986
P0175,interior,PK06,PK05,108.22510822510822,2530.0,113901.47251031722
P0176,chassis,PK02,PK04,90.2439024390244,3298.0,26457.28703163779
P0177,chassis,PK02,PK04,90.2439024390244,5288.0,42533.13639275338
P0178,chassis,PK03,PK04,69.44444444444446,1926.0,16243.701551204464
P0179,thermal,PK02,PK04,90.2439024390244,948.0,7473.243816250037
P0180,thermal,PK06,PK04,inf,391.0,-3792.305237240771
P0182,thermal,PK02,PK04,90.2439024390244,2021.0,16141.277165233467
P0183,powertrain,PK02,PK04,90.2439024390244,948.0,7473.243816250037
P0184,chassis,PK03,PK04,69.44444444444446,94594.0,805013.9691249406
P0185,chassis,PK03,PK04,69.44444444444446,152.0,1143.7916073640076
P0186,body,PK06,PK04,inf,3978.0,-27115.192413666977
P0187,body,PK03,PK04,69.44444444444446,30202.0,256922.9876684721
P0188,chassis,PK02,PK04,90.2439024390244,1886.0,15050.704469881402
P0189,interior,PK03,PK04,69.44444444444446,10162.0,86346.77838179635
P0190,interior,PK06,PK05,108.22510822510822,9973.0,452665.27088750736
P0191,interior,PK02,PK04,90.2439024390244,1035.0,8176.05733103248
P0192,electronics,PK02,PK04,90.2439024390244,5871.0,47242.79477342192
P0194,body,PK02,PK04,90.2439024390244,7996.0,64409.21682988956
P0195,electronics,PK03,PK04,69.44444444444446,15081.0,128216.258096425
P0196,powertrain,PK02,PK04,90.2439024390244,8805.0,70944.57468574007
P0197,body,PK02,PK04,90.2439024390244,2910.0,23322.900322033343
P0198,electronics,PK02,PK04,90.2439024390244,21774.0,175712.25828589487
P0199,chassis,PK03,PK04,69.44444444444446,7738.0,65714.20695909666
P0200,electronics,PK03,PK04,69.44444444444446,12803.0,108826.40755974597
P0201,thermal,PK03,PK04,69.44444444444446,14583.0,123977.38822492975
P0202,chassis,PK02,PK04,90.2439024390244,3379.0,27111.630648849023
P0203,powertrain,PK06,PK05,108.22510822510822,6915.0,313482.1867228631
P0204,thermal,PK03,PK04,69.44444444444446,9649.0,81980.23170694284
P0205,thermal,PK02,PK04,90.2439024390244,11741.0,94662.51123058195
P0206,body,PK03,PK04,69.44444444444446,10970.0,93224.3021893629
P0207,thermal,PK03,PK04,69.44444444444446,21301.0,181159.5725556627
P0208,thermal,PK06,PK04,inf,643.0,-5430.824213672161
P0209,chassis,PK02,PK04,90.2439024390244,1511.0,12021.335871681236
P0210,electronics,PK03,PK04,69.44444444444446,5469.0,46400.96250443262
P0211,chassis,PK03,PK04,69.44444444444446,2276.0,19222.8269628979
P0212,thermal,PK02,PK04,90.2439024390244,803.0,6301.887958279305
P0213,interior,PK03,PK04,69.44444444444446,30151.0,256488.8865370539
P0216,body,PK02,PK04,90.2439024390244,577.0,4476.188483097333
P0217,thermal,PK02,PK04,90.2439024390244,2488.0,19913.850859525417
P0218,electronics,PK02,PK04,90.2439024390244,1514.0,12045.570820466834
P0219,interior,PK03,PK04,69.44444444444446,2520.0,21299.70296419276
P0220,interior,PK02,PK04,90.2439024390244,15941.0,128591.4395304239
P0221,chassis,PK03,PK04,69.44444444444446,19982.0,169932.52564702372
P0222,powertrain,PK02,PK04,90.2439024390244,3783.0,30375.27041864335
P0223,body,PK03,PK04,69.44444444444446,2607.0,22040.228423670844
P0224,interior,PK03,PK04,69.44444444444446,7712.0,65492.900499942276
P0226,chassis,PK03,PK04,69.44444444444446,378.0,3067.455444628913
P0227,interior,PK03,PK04,69.44444444444446,13460.0,114418.6515468391
P0228,electronics,PK03,PK04,69.44444444444446,10113.0,85929.70082415927
P0229,powertrain,PK03,PK04,69.44444444444446,3306.0,27989.96746016717
P0230,powertrain,PK06,PK04,inf,322.0,-3343.6631365512235
P0231,electronics,PK02,PK04,90.2439024390244,991.0,7820.611415510324
P0232,body,PK03,PK04,69.44444444444446,4268.0,36178.306448878844
P0233,thermal,PK06,PK05,108.22510822510822,13100.0,594988.8497569786
P0234,powertrain,PK03,PK04,69.44444444444446,488.0,4003.752002589709
P0236,electronics,PK06,PK05,108.22510822510822,14616.0,663988.7044311449
P0237,interior,PK03,PK04,69.44444444444446,3676.0,31139.328609671655
P0238,powertrain,PK03,PK04,69.44444444444446,6631.0,56291.65887125484
P0239,body,PK03,PK04,69.44444444444446,2597.0,21955.110554765317
P0240,powertrain,PK06,PK05,108.22510822510822,1371.0,61150.26435242883
P0242,interior,PK01,PK04,52.631578947368425,47288.0,424746.7883960361
P0244,body,PK06,PK05,108.22510822510822,4791.0,216809.56711341097
P0245,body,PK03,PK04,69.44444444444446,11321.0,96211.93938794691
P0246,interior,PK03,PK04,69.44444444444446,252.0,1994.9702964192757
P0247,body,PK06,PK05,108.22510822510822,964.0,42625.89703555171
P0248,body,PK02,PK04,90.2439024390244,70362.0,568221.488817495
P0249,electronics,PK03,PK04,69.44444444444446,1165.0,9766.231727493876
P0250,body,PK02,PK04,90.2439024390244,4287.0,34446.74181462437
P0251,electronics,PK03,PK04,69.44444444444446,30219.0,257067.68804561152
P0252,chassis,PK06,PK05,108.22510822510822,2073.0,93101.38439284096
P0253,body,PK02,PK04,90.2439024390244,11619.0,93676.95664663418
P0254,thermal,PK02,PK04,90.2439024390244,5035.0,40489.322378501
P0255,electronics,PK02,PK04,90.2439024390244,15095.0,121757.18397288432
P0256,thermal,PK02,PK04,90.2439024390244,2193.0,17530.747562274613
P0257,chassis,PK06,PK05,108.22510822510822,4314.0,195099.19067569508
P0258,thermal,PK01,PK04,52.631578947368425,7304.0,65503.985417963275
P0259,powertrain,PK03,PK04,69.44444444444446,113313.0,964346.107929196
P0260,chassis,PK02,PK04,90.2439024390244,2200.0,17587.295776107683
P0261,thermal,PK03,PK04,69.44444444444446,86271.0,734170.3668348705
P0263,chassis,PK02,PK04,90.2439024390244,2468.0,19752.284534288076
P0264,interior,PK03,PK04,69.44444444444446,3034.0,25674.761425936835
P0265,interior,PK02,PK04,90.2439024390244,1605.0,12780.697600296744
P0266,electronics,PK03,PK04,69.44444444444446,475.0,3893.0987730125244
P0268,electronics,PK06,PK05,108.22510822510822,3030.0,136658.68051630878
P0269,chassis,PK03,PK04,69.44444444444446,7051.0,59866.60936528696
P0270,chassis,PK03,PK04,69.44444444444446,1514.0,12736.845352296761
P0271,interior,PK03,PK04,69.44444444444446,61313.0,521733.18962045666
P0272,interior,PK02,PK04,90.2439024390244,5026.0,40416.617532144184
P0273,electronics,PK03,PK04,69.44444444444446,7565.0,64241.66782703104
P0274,chassis,PK03,PK04,69.44444444444446,30141.0,256403.76866814835
P0275,powertrain,PK06,PK05,108.22510822510822,3029.0,136613.16610029677
P0276,interior,PK02,PK04,90.2439024390244,5478.0,44068.01648250814
P0277,powertrain,PK03,PK04,69.44444444444446,3666.0,31054.210740766135
P0279,interior,PK06,PK05,108.22510822510822,2664.0,120000.40425592297
P0280,thermal,PK06,PK05,108.22510822510822,13457.0,611237.4962732566
P0282,chassis,PK03,PK04,69.44444444444446,15099.0,128369.47026045492
P0284,chassis,PK03,PK04,69.44444444444446,6415.0,54453.11290289546
P0285,body,PK02,PK04,90.2439024390244,10424.0,84023.36871370295
P0286,thermal,PK02,PK04,90.2439024390244,1508.0,11997.10092289563
P0287,powertrain,PK02,PK04,90.2439024390244,3298.0,26457.28703163779
P0288,chassis,PK02,PK04,90.2439024390244,6006.0,48333.367468773984
P0290,body,PK03,PK04,69.44444444444446,29503.0,250973.24863197576
P0291,interior,PK02,PK04,90.2439024390244,3763.0,30213.704093406006
P0292,body,PK01,PK04,52.631578947368425,50733.0,455698.955669432
P0293,chassis,PK03,PK04,69.44444444444446,4592.0,38936.125401417914
P0294,body,PK03,PK04,69.44444444444446,7518.0,63841.61384317506
P0295,electronics,PK03,PK04,69.44444444444446,2162.0,18252.483257374897
P0296,chassis,PK03,PK04,69.44444444444446,3304.0,27972.943886386063
P0297,electronics,PK02,PK04,90.2439024390244,758.0,5938.363726495283
P0299,electronics,PK02,PK04,90.2439024390244,2911.0,23330.97863829521
P0300,powertrain,PK02,PK04,90.2439024390244,1512.0,12029.414187943097
P0301,thermal,PK03,PK04,69.44444444444446,10825.0,91990.09309023277
P0302,interior,PK03,PK04,69.44444444444446,15120.0,128548.21778515656
P0303,electronics,PK06,PK04,inf,629.0,-5339.795381648196
P0304,powertrain,PK03,PK04,69.44444444444446,343.0,2769.54290345957
P0305,electronics,PK02,PK04,90.2439024390244,9905.0,79830.72257379393
P0310,powertrain,PK03,PK04,69.44444444444446,1068.0,8940.588399110264
P0311,chassis,PK06,PK04,inf,6051.0,-40593.961612644256
P0312,thermal,PK03,PK04,69.44444444444446,194841.0,1658295.0695421752
P0313,body,PK03,PK04,69.44444444444446,213.0,1663.0106076877214
P0314,powertrain,PK06,PK04,inf,1428.0,-10534.940866444553
P0315,chassis,PK01,PK04,52.631578947368425,151943.0,1365036.7930396488
P0317,electronics,PK06,PK05,108.22510822510822,3034.0,136840.7381803567
P0318,powertrain,PK03,PK04,69.44444444444446,3668.0,31071.234314547237
P0319,powertrain,PK03,PK04,69.44444444444446,27281.0,232060.0581611677
P0320,interior,PK03,PK04,69.44444444444446,5773.0,48988.54571916063
P0321,body,PK02,PK04,90.2439024390244,3018.0,24195.358478314996
P0324,electronics,PK06,PK04,inf,629.0,-5339.795381648196
P0325,chassis,PK03,PK04,69.44444444444446,5041.0,42757.91771527607
P0326,powertrain,PK03,PK04,69.44444444444446,3674.0,31122.305035890553
P0327,interior,PK03,PK04,69.44444444444446,11706.0,99488.97734080968
P0329,interior,PK01,PK04,52.631578947368425,14032.0,125952.80440647052
P0330,thermal,PK03,PK04,69.44444444444446,10998.0,93462.63222229839
P0331,thermal,PK06,PK05,108.22510822510822,17344.0,788152.0313118349
P0332,powertrain,PK03,PK04,69.44444444444446,8154.0,69255.11030556656
P0333,thermal,PK03,PK04,69.44444444444446,144665.0,1231207.6505218039
P0334,interior,PK03,PK04,69.44444444444446,11619.0,98748.45188133162
P0335,chassis,PK03,PK04,69.44444444444446,57169.0,486460.34474600625
P0336,thermal,PK02,PK04,90.2439024390244,5038.0,40513.557327286595
P0337,thermal,PK03,PK04,69.44444444444446,101327.0,862323.8302590315
P0338,interior,PK06,PK04,inf,684.0,-5697.408650313778
P0339,electronics,PK06,PK04,inf,207.0,-2595.926302068644
P0340,thermal,PK03,PK04,69.44444444444446,7995.0,67901.7361899687
P0341,body,PK03,PK04,69.44444444444446,11141.0,94679.81774764744
P0342,powertrain,PK03,PK04,69.44444444444446,6988.0,59330.36679118214
P0343,body,PK01,PK04,52.631578947368425,23215.0,208458.97336774608
P0345,chassis,PK03,PK04,69.44444444444446,15111.0,128471.61170314159
P0346,thermal,PK06,PK05,108.22510822510822,4742.0,214579.3607288238
P0347,chassis,PK02,PK04,90.2439024390244,5644.0,45409.01698197807
P0348,thermal,PK03,PK04,69.44444444444446,30199.0,256897.45230780047
P0349,chassis,PK02,PK04,90.2439024390244,3836.0,30803.421180522302
P0350,thermal,PK06,PK05,108.22510822510822,1648.0,73757.75758774813
P0351,chassis,PK02,PK04,90.2439024390244,1746.0,13919.740193220005
P0352,thermal,PK06,PK04,inf,495.0,-4468.519417990233
P0353,electronics,PK03,PK04,69.44444444444446,7528.0,63926.73171208058
P0354,powertrain,PK03,PK04,69.44444444444446,2490.0,21044.34935747618
P0355,thermal,PK06,PK04,inf,584.0,-5047.202707285448
P0356,chassis,PK02,PK04,90.2439024390244,3026.0,24259.98500840993
P0357,electronics,PK03,PK04,69.44444444444446,5040.0,42749.40592838552
P0358,body,PK06,PK04,inf,268.0,-2992.5519273159252
P0359,powertrain,PK02,PK04,90.2439024390244,623.0,4847.791031143221
P0360,electronics,PK02,PK04,90.2439024390244,2498.0,19994.634022144088
P0361,chassis,PK03,PK04,69.44444444444446,4300.0,36450.68362937654
P0362,body,PK06,PK04,inf,347.0,-3506.2146223083055
P0363,chassis,PK03,PK04,69.44444444444446,9622.0,81750.41346089791
P0364,thermal,PK03,PK04,69.44444444444446,6740.0,57219.44364232509
P0365,chassis,PK06,PK05,108.22510822510822,3664.0,165514.82026790606
P0366,thermal,PK02,PK04,90.2439024390244,59144.0,477598.9369918694
P0367,interior,PK03,PK04,69.44444444444446,7566.0,64250.1796139216
P0368,interior,PK03,PK04,69.44444444444446,15159.0,128880.17747388809
P0369,electronics,PK06,PK05,108.22510822510822,587.0,25466.962199034075
P0370,body,PK03,PK04,69.44444444444446,5017.0,42553.6348299028
P0371,powertrain,PK03,PK04,69.44444444444446,2176.0,18371.648273842635
P0372,body,PK06,PK04,inf,420.0,-3980.8649607189855
P0373,interior,PK02,PK04,90.2439024390244,15704.0,126676.8785763614
P0374,thermal,PK03,PK04,69.44444444444446,947.0,7910.662185353391
P0375,electronics,PK06,PK05,108.22510822510822,2517.0,113309.78510216146
P0376,powertrain,PK03,PK04,69.44444444444446,10051.0,85401.97003694501
P0377,electronics,PK03,PK04,69.44444444444446,9815.0,83393.18833077457
P0378,interior,PK03,PK04,69.44444444444446,21931.0,186521.99829671087
P0379,chassis,PK02,PK04,90.2439024390244,5042.0,40545.87059233406
P0380,body,PK03,PK04,69.44444444444446,2472.0,20891.13719344623
P0381,thermal,PK03,PK04,69.44444444444446,3872.0,32807.63884021998
P0382,interior,PK03,PK04,69.44444444444446,10566.0,89785.54028557963
P0383,powertrain,PK02,PK04,90.2439024390244,2574.0,20608.586058045992
P0384,body,PK02,PK04,90.2439024390244,2938.0,23549.093177365627
P0385,thermal,PK06,PK05,108.22510822510822,1454.0,64927.96088142342
P0386,body,PK03,PK04,69.44444444444446,11578.0,98399.46861881894
P0388,chassis,PK06,PK04,inf,3234.0,-22277.6601975362
P0389,thermal,PK03,PK04,69.44444444444446,841.0,7008.412774954805
P0390,electronics,PK02,PK04,90.2439024390244,3025.0,24251.90669214807
P0391,powertrain,PK06,PK05,108.22510822510822,9215.0,418165.3435504242
P0392,interior,PK06,PK04,inf,934.0,-7322.923507884603
P0393,thermal,PK03,PK04,69.44444444444446,182860.0,1556315.3508064633
P0394,chassis,PK01,PK04,52.631578947368425,12833.0,115180.19234237714
P0395,thermal,PK02,PK04,90.2439024390244,6946.0,55926.98475492907
P0396,powertrain,PK03,PK04,69.44444444444446,10941.0,92977.4603695369
P0397,thermal,PK03,PK04,69.44444444444446,4968.0,42136.55727226572
P0398,body,PK03,PK04,69.44444444444446,1517.0,12762.380712968417
P0399,interior,PK02,PK04,90.2439024390244,3770.0,30270.252307239083
P0400,electronics,PK03,PK04,69.44444444444446,1894.0,15971.324370706781
P0401,body,PK02,PK04,90.2439024390244,10102.0,81422.15087738173
P0403,electronics,PK06,PK04,inf,2730.0,-19000.622244673414
P0404,thermal,PK06,PK05,108.22510822510822,3196.0,144214.07357429795
P0405,body,PK03,PK04,69.44444444444446,30272.0,257518.81275081076
P0406,interior,PK02,PK04,90.2439024390244,3463.0,27790.20921484587
P0408,body,PK01,PK04,52.631578947368425,15135.0,135862.88873232124
P0409,chassis,PK02,PK04,90.2439024390244,225.0,1632.6211589201039
P0411,interior,PK03,PK04,69.44444444444446,2627.0,22210.464161481897
P0412,interior,PK02,PK04,90.2439024390244,4259.0,34220.5489592921
P0413,electronics,PK02,PK04,90.2439024390244,18829.0,151921.61689469614
P0414,body,PK03,PK04,69.44444444444446,2762.0,23359.555391706504
P0415,powertrain,PK03,PK04,69.44444444444446,25658.0,218245.4280378007
P0416,powertrain,PK03,PK04,69.44444444444446,11554.0,98195.18573344569
P0417,body,PK03,PK04,69.44444444444446,39988.0,340219.33417942066
P0418,chassis,PK02,PK04,90.2439024390244,4809.0,38663.62290331902
P0419,body,PK03,PK04,69.44444444444446,55760.0,474467.23701721756
P0420,powertrain,PK02,PK04,90.2439024390244,5496.0,44213.42617522174
P0421,interior,PK02,PK04,90.2439024390244,3712.0,29801.70996405078
P0422,powertrain,PK03,PK04,69.44444444444446,3505.0,29683.81305138715
P0423,interior,PK02,PK04,90.2439024390244,756.0,5922.207093971549
P0424,body,PK02,PK04,90.2439024390244,14746.0,118937.85159749267
P0425,interior,PK03,PK04,69.44444444444446,5034.0,42698.3352070422
P0426,electronics,PK06,PK05,108.22510822510822,945.0,41761.12313132403
P0427,thermal,PK06,PK05,108.22510822510822,4494.0,203291.78555785207
P0429,body,PK02,PK04,90.2439024390244,2476.0,19816.911064383006
P0430,electronics,PK02,PK04,90.2439024390244,3796.0,30480.28853004762
P0431,interior,PK03,PK04,69.44444444444446,30124.0,256259.068291009
P0432,thermal,PK02,PK04,90.2439024390244,2323.0,18580.928676317344
