part_id,operational_fleet,containers_shipped,container_shortages,containers_lost,container_shortage_rate
P0196,235,4389,0,7,0.0
P0197,96,1491,0,3,0.0
P0198,498,10700,0,21,0.0
P0199,94,3849,0,7,0.0
P0200,416,6294,0,13,0.0
P0201,283,7282,0,10,0.0
P0202,107,1722,0,2,0.0
P0203,189,3444,0,2,0.0
P0204,104,4588,2,5,0.00043572984749455336
P0205,311,5845,0,10,0.0
P0206,217,5436,0,3,0.0
P0207,579,10465,8,15,0.0007638689964671059
P0208,11,340,44,1,0.11458333333333333
P0209,16,796,0,1,0.0
P0210,74,2748,0,5,0.0
P0211,45,1098,14,5,0.012589928057553957
P0212,16,441,13,4,0.028634361233480177
P0213,521,14686,39,20,0.0026485568760611206
P0216,10,315,24,0,0.07079646017699115
P0217,67,1267,24,2,0.018590240123934933
P0218,43,801,0,0,0.0
P0219,56,1286,8,4,0.0061823802163833074
P0220,401,7877,0,10,0.0
P0221,214,9870,0,8,0.0
P0222,88,1906,0,2,0.0
P0223,86,1365,0,1,0.0
P0224,133,3786,45,11,0.011746280344557557
P0226,12,217,15,1,0.06465517241379311
P0227,138,6486,0,7,0.0
P0228,329,4980,0,10,0.0
P0229,72,1619,5,4,0.003078817733990148
P0230,5,230,0,0,0.0
P0231,15,537,0,2,0.0
P0232,64,1957,196,4,0.09103576405016256
P0233,395,6459,0,8,0.0
P0234,7,293,0,0,0.0
P0236,234,7033,169,10,0.023465703971119134
P0237,76,1867,0,3,0.0
P0238,215,3209,0,4,0.0
P0239,42,1252,137,3,0.09863210943124551
P0240,37,737,0,2,0.0
P0242,1423,23466,0,25,0.0
P0244,134,2412,0,3,0.0
P0245,224,5373,8,6,0.001486712506968965
P0246,7,142,42,0,0.22826086956521738
P0247,32,511,0,0,0.0
P0248,2029,34655,0,50,0.0
P0249,14,597,0,0,0.0
P0250,69,2063,89,6,0.041356877323420076
P0251,759,14724,0,18,0.0
P0252,66,1036,0,2,0.0
P0253,273,5753,0,7,0.0
P0254,54,2505,0,6,0.0
P0255,490,7423,0,11,0.0
P0256,70,1144,0,2,0.0
P0257,123,2171,0,3,0.0
P0258,116,3544,118,3,0.03222282905516111
P0259,3580,56759,0,69,0.0
P0260,39,1119,25,3,0.021853146853146852
P0261,2726,41987,0,64,0.0
P0263,55,1220,3,3,0.0024529844644317253
P0264,74,1552,0,4,0.0
P0265,33,848,0,0,0.0
P0266,15,282,9,1,0.030927835051546393
P0268,77,1537,0,1,0.0
P0269,213,3530,0,4,0.0
P0270,25,773,26,0,0.03254067584480601
P0271,1845,30287,0,51,0.0
P0272,138,2511,0,2,0.0
P0273,78,3724,2,9,0.0005367686527106817
P0274,597,14786,0,19,0.0
P0275,82,1524,0,5,0.0
P0276,166,2727,0,1,0.0
P0277,59,1788,66,3,0.03559870550161812
P0279,53,1336,0,0,0.0
P0280,392,6650,0,13,0.0
P0282,238,7143,214,13,0.029087943455212723
P0284,69,3180,0,5,0.0
P0285,240,5044,0,11,0.0
P0286,46,800,0,0,0.0
P0287,47,1618,0,2,0.0
P0288,156,3018,0,7,0.0
P0290,604,14631,0,27,0.0
P0291,68,1894,1,1,0.0005277044854881266
P0292,812,24220,813,32,0.03247713018815164
P0293,59,2301,0,2,0.0
P0294,102,3715,0,5,0.0
P0295,57,1114,0,0,0.0
P0296,52,1552,66,3,0.0407911001236094
P0297,21,401,0,0,0.0
P0299,88,1478,0,1,0.0
P0300,32,795,0,0,0.0
P0301,128,5223,0,8,0.0
P0302,419,7423,0,11,0.0
P0303,21,375,0,1,0.0
P0304,6,201,44,0,0.17959183673469387
P0305,280,4749,0,10,0.0
P0310,22,561,0,0,0.0
P0311,118,3046,0,5,0.0
P0312,4206,94744,152,136,0.0016017534985668521
P0313,4,128,12,0,0.08571428571428572
P0314,21,757,0,2,0.0
P0315,2923,74885,0,109,0.0
P0317,93,1537,0,1,0.0
P0318,111,1864,0,1,0.0
P0319,529,12915,56,23,0.004317323259579061
P0320,166,2759,0,6,0.0
P0321,55,1524,6,4,0.00392156862745098
P0324,12,370,7,0,0.01856763925729443
P0325,153,2512,0,5,0.0
P0326,53,1869,0,3,0.0
P0327,233,5826,0,10,0.0
P0329,180,6774,0,13,0.0
P0330,198,5441,13,4,0.0023835716905023837
P0331,498,8588,0,9,0.0
P0332,177,3896,73,5,0.01839254220206601
P0333,2862,71255,0,107,0.0
P0334,293,5750,0,6,0.0
P0335,914,27342,667,40,0.023813774144025135
P0336,153,2507,0,2,0.0
P0337,1619,48589,1047,46,0.02109356112498993
P0338,10,394,0,0,0.0
P0339,4,128,7,0,0.05185185185185185
P0340,242,3968,0,4,0.0
P0341,165,5080,407,11,0.07417532349188992
P0342,194,3390,3,6,0.0008841732979664014
P0343,352,10814,601,15,0.05265002190100745
P0345,477,7418,0,5,0.0
P0346,138,2418,0,7,0.0
P0347,68,2817,0,2,0.0
P0348,458,14096,742,16,0.05000673945275644
P0349,63,1895,76,3,0.038559107052257735
P0350,18,847,0,1,0.0
P0351,26,770,101,2,0.11595866819747416
P0352,14,278,7,0,0.02456140350877193
P0353,117,3583,146,7,0.0391525878251542
P0354,69,1273,13,3,0.01010886469673406
P0355,18,345,8,1,0.0226628895184136
P0356,45,1417,128,1,0.08284789644012945
P0357,145,2532,0,2,0.0
P0358,10,177,2,0,0.0111731843575419
P0359,10,375,0,0,0.0
P0360,70,1281,10,2,0.0077459333849728895
P0361,75,2140,12,4,0.0055762081784386614
P0362,5,211,33,2,0.13524590163934427
P0363,267,4637,0,12,0.0
P0364,155,3379,2,5,0.0005915409642117716
P0365,93,1872,0,0,0.0
P0366,1812,28820,0,44,0.0
P0367,131,3724,17,4,0.0045442395081529
P0368,271,7431,9,10,0.0012096774193548388
P0369,14,328,10,0,0.029585798816568046
P0370,82,2474,102,0,0.039596273291925464
P0371,30,1133,0,3,0.0
P0372,8,254,8,0,0.030534351145038167
P0373,395,7801,0,14,0.0
P0374,26,527,0,1,0.0
P0375,49,1297,0,2,0.0
P0376,149,4666,313,6,0.06286402892147018
P0377,192,4743,0,6,0.0
P0378,323,10126,777,11,0.071264789507475
P0379,143,2527,0,4,0.0
P0380,45,1214,14,4,0.011400651465798045
P0381,62,1875,101,3,0.051113360323886636
P0382,287,5099,5,10,0.0009796238244514106
P0383,37,1331,0,1,0.0
P0384,60,1498,0,2,0.0
P0385,16,782,0,1,0.0
P0386,208,5679,14,9,0.002459160372387142
P0388,42,1601,0,2,0.0
P0389,17,465,0,1,0.0
P0390,42,1531,0,1,0.0
P0391,239,4574,0,6,0.0
P0392,16,483,40,1,0.07648183556405354
P0393,1853,89562,0,121,0.0
P0394,249,6290,0,6,0.0
P0395,135,3581,12,7,0.003339827442248817
P0396,237,5408,46,8,0.008434176751008434
P0397,86,2390,9,3,0.003751563151313047
P0398,25,748,49,3,0.06148055207026349
P0399,78,1896,0,2,0.0
P0400,51,989,0,4,0.0
P0401,160,4823,145,6,0.02918679549114332
P0403,87,1388,0,3,0.0
P0404,86,1622,0,3,0.0
P0405,912,14811,0,24,0.0
P0406,111,1819,0,2,0.0
P0408,161,7415,0,10,0.0
P0409,4,142,0,0,0.0
P0411,86,1378,0,2,0.0
P0412,129,2063,0,1,0.0
P0413,612,9309,0,12,0.0
P0414,88,1356,0,0,0.0
P0415,735,12620,0,18,0.0
P0416,229,5555,0,12,0.0
P0417,1105,19648,0,34,0.0
P0418,113,2326,8,4,0.003427592116538132
P0419,962,27173,43,49,0.0015799529688418578
P0420,160,2768,0,4,0.0
P0421,45,1883,0,3,0.0
P0422,43,1688,0,3,0.0
P0423,16,404,1,0,0.0024691358024691358
P0424,424,7331,0,13,0.0
P0425,110,2496,10,5,0.0039904229848363925
P0426,27,517,6,0,0.011472275334608031
P0427,125,2252,3,4,0.0013303769401330377
P0429,79,1243,0,0,0.0
P0430,88,1908,0,1,0.0
P0431,832,14722,0,23,0.0
P0432,47,1202,0,0,0.0
P0434,297,7648,0,11,0.0
P0437,38,1165,122,3,0.0947940947940948
P0438,230,6051,5,4,0.0008256274768824307
P0439,558,9400,0,15,0.0
P0441,75,3665,5,4,0.0013623978201634877
P0442,836,14855,0,17,0.0
P0444,76,3198,0,3,0.0
P0445,225,5555,0,5,0.0
P0446,96,1895,0,4,0.0
P0447,410,11373,30,19,0.002630886608787161
P0448,22,668,12,0,0.01764705882352941
P0450,285,6475,23,5,0.0035395506309633734
P0451,42,821,0,0,0.0
P0452,109,4991,0,6,0.0
P0453,96,1541,0,0,0.0
P0454,10,207,31,0,0.13025210084033614
P0455,429,17570,0,21,0.0
P0456,209,5063,0,8,0.0
P0457,30,576,17,2,0.02866779089376054
P0458,44,1349,76,2,0.05333333333333334
P0459,202,3745,0,5,0.0
P0461,159,4815,162,5,0.0325497287522604
P0463,179,3212,0,6,0.0
P0465,356,14875,0,18,0.0
P0466,45,952,3,3,0.0031413612565445027
P0467,852,14763,0,15,0.0
P0468,313,8710,33,12,0.0037744481299325176
P0469,207,7383,0,7,0.0
P0470,1650,32531,0,57,0.0
P0471,13,345,1,1,0.002890173410404624
P0472,75,2774,0,2,0.0
P0473,77,1991,0,2,0.0
P0475,82,1351,0,1,0.0
P0477,178,7396,0,9,0.0
P0478,8,152,6,0,0.0379746835443038
P0479,178,3729,0,3,0.0
P0481,243,8502,0,11,0.0
P0482,237,4353,33,9,0.007523939808481532
P0483,127,2109,0,1,0.0
P0484,320,9157,62,14,0.006725241349387135
P0485,23,463,9,0,0.019067796610169493
P0486,1523,41754,61,48,0.0014588066483319383
P0487,432,12858,321,21,0.024356931481903026
P0488,221,3686,0,7,0.0
P0489,232,5011,0,8,0.0
P0492,63,1715,13,0,0.007523148148148148
P0493,401,12132,501,17,0.03965803847067205
P0494,963,15718,0,14,0.0
P0496,128,6258,0,13,0.0
P0497,46,1960,0,3,0.0
P0498,88,1910,0,4,0.0
P0499,1217,19237,0,23,0.0
P0500,102,3077,113,5,0.03542319749216301
P0501,10,315,27,0,0.07894736842105263
P0502,100,2515,0,3,0.0
P0503,109,5001,0,7,0.0
P0504,153,2503,0,5,0.0
P0505,1871,52098,164,81,0.0031380352837625807
P0506,68,1904,2,3,0.001049317943336831
P0507,329,9328,36,8,0.003844510892780863
P0508,19,350,0,0,0.0
P0509,32,1255,0,1,0.0
P0510,159,4788,179,9,0.03603784980873767
P0511,554,9119,0,12,0.0
P0512,294,9061,447,11,0.04701304164913757
P0513,233,3758,0,8,0.0
P0514,108,4968,0,6,0.0
P0515,25,1179,0,1,0.0
P0517,388,6321,0,10,0.0
P0518,684,18956,100,35,0.005247691015952981
P0519,344,6356,8,10,0.001257071024512885
P0520,7,211,10,0,0.04524886877828054
P0521,547,11395,0,19,0.0
P0522,375,7491,0,16,0.0
P0524,4,136,0,0,0.0
P0525,96,4635,4,2,0.0008622547962923044
P0526,119,3607,150,6,0.039925472451424006
P0527,356,14813,0,21,0.0
P0528,299,5446,12,14,0.0021986075485525836
P0529,55,1037,5,2,0.0047984644913627635
P0530,92,1523,0,3,0.0
P0531,519,13160,4,21,0.00030385900941962927
P0532,314,9014,109,15,0.011947824180642332
P0533,64,1341,2,3,0.0014892032762472078
P0535,390,11874,545,18,0.04388437072228038
P0536,457,7391,0,13,0.0
P0537,471,14032,376,21,0.02609661299278179
P0538,52,1516,41,3,0.026332691072575465
P0539,228,4338,0,5,0.0
P0540,110,1905,0,1,0.0
P0541,2191,35503,0,47,0.0
P0542,29,779,0,1,0.0
P0543,264,4730,0,6,0.0
P0544,1442,26148,0,39,0.0
P0545,1098,16709,0,27,0.0
P0546,733,11630,0,23,0.0
P0547,242,3985,0,4,0.0
P0549,1877,30530,0,45,0.0
P0550,230,7155,444,9,0.05842874062376629
P0551,506,14470,92,26,0.006317813487158357
P0552,769,12626,0,14,0.0
P0553,120,3625,92,6,0.024751143395211193
P0554,182,7435,0,9,0.0
P0555,119,3021,0,4,0.0
P0556,1745,42587,0,61,0.0
P0557,79,3642,1,7,0.0002744990392533626
P0558,250,11458,0,14,0.0
P0559,635,19175,619,32,0.03127210265737092
P0560,16,452,5,1,0.010940919037199124
P0561,1502,22601,0,29,0.0
P0562,392,7430,0,11,0.0
P0563,5,257,0,0,0.0
P0564,551,8610,0,11,0.0
P0565,175,2768,0,1,0.0
P0566,57,1502,3,4,0.0019933554817275745
P0567,538,16446,640,20,0.037457567599204024
P0568,302,6623,104,10,0.01546008621971161
P0569,259,11892,0,16,0.0
P0570,68,1895,2,3,0.0010542962572482868
P0571,49,1388,11,1,0.007862759113652609
P0572,16,683,0,1,0.0
P0574,644,9750,0,15,0.0
P0575,321,7843,0,16,0.0
P0576,90,2492,4,3,0.0016025641025641025
P0577,20,622,26,1,0.040123456790123455
P0578,700,21512,1068,31,0.04729849424269265
P0579,591,28346,0,47,0.0
P0580,387,9468,0,9,0.0
P0581,35,1009,13,0,0.012720156555772993
P0582,256,4715,0,5,0.0
P0583,116,4289,0,5,0.0
P0584,84,1631,0,0,0.0
P0585,632,13503,0,15,0.0
P0586,192,6002,410,8,0.06394260761072988
P0588,234,5064,0,6,0.0
P0589,4,128,4,0,0.030303030303030304
P0590,120,3627,100,5,0.026831231553528307
P0591,138,2513,0,6,0.0
P0592,634,10884,0,16,0.0
P0593,226,6324,32,15,0.005034612964128383
P0594,79,2442,73,4,0.029025844930417495
P0595,525,10366,0,10,0.0
P0596,78,3738,2,8,0.0005347593582887701
P0597,203,6103,236,12,0.03722984697901877
P0598,146,2512,0,2,0.0
P0599,185,5569,179,10,0.03114126652748782
